Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.28613      3.43391      1.21922      2.21469
     -5.27613      3.66874      1.28582      2.38292
     -5.26613      4.17529      1.45951      2.71577
     -5.25613      4.05465      1.43044      2.62421
     -5.24613      4.05778      1.44551      2.61226
     -5.23613      5.60520      1.97965      3.62555
     -5.22613      7.04251      2.46837      4.57415
     -5.21613      6.56216      2.31012      4.25204
     -5.20613      5.42147      1.91408      3.50739
     -5.19613      4.79515      1.66390      3.13125
     -5.18613      4.48451      1.53388      2.95063
     -5.17613      4.32787      1.47281      2.85506
     -5.16613      4.17456      1.40852      2.76604
     -5.15613      4.16746      1.38858      2.77887
     -5.14613      4.19898      1.36055      2.83843
     -5.13613      3.37897      1.02622      2.35275
     -5.12613      2.20798      0.61698      1.59100
     -5.11613      1.62340      0.43317      1.19023
     -5.10613      1.77084      0.48347      1.28737
     -5.09613      2.19282      0.62685      1.56597
     -5.08613      2.35500      0.71259      1.64241
     -5.07613      2.59043      0.83221      1.75822
     -5.06613      2.91570      0.96214      1.95356
     -5.05613      2.45925      0.79418      1.66507
     -5.04613      1.50779      0.45363      1.05416
     -5.03613      0.95383      0.27074      0.68309
     -5.02613      0.94619      0.26904      0.67716
     -5.01613      1.17163      0.33260      0.83903
     -5.00613      1.36181      0.39387      0.96793
     -4.99613      1.22428      0.36551      0.85877
     -4.98613      1.18439      0.36453      0.81986
     -4.97613      1.50979      0.47025      1.03955
     -4.96613      1.77057      0.54617      1.22440
     -4.95613      1.41861      0.42832      0.99029
     -4.94613      0.87431      0.26143      0.61289
     -4.93613      0.75423      0.22736      0.52687
     -4.92613      1.11778      0.33210      0.78568
     -4.91613      1.33650      0.40009      0.93641
     -4.90613      1.13664      0.34869      0.78796
     -4.89613      1.11827      0.34507      0.77320
     -4.88613      1.23696      0.38745      0.84951
     -4.87613      1.44237      0.47077      0.97160
     -4.86613      1.72946      0.57034      1.15912
     -4.85613      1.29753      0.42174      0.87579
     -4.84613      0.64202      0.19733      0.44469
     -4.83613      0.52092      0.15302      0.36790
     -4.82613      0.72992      0.21789      0.51203
     -4.81613      1.02898      0.30519      0.72378
     -4.80613      0.97750      0.28576      0.69174
     -4.79613      0.57707      0.17154      0.40553
     -4.78613      0.48067      0.15414      0.32653
     -4.77613      0.83076      0.26478      0.56598
     -4.76613      0.94839      0.29910      0.64929
     -4.75613      0.81864      0.26553      0.55311
     -4.74613      0.87474      0.27954      0.59520
     -4.73613      0.93082      0.28233      0.64850
     -4.72613      0.88388      0.25669      0.62719
     -4.71613      0.73150      0.21721      0.51429
     -4.70613      0.50129      0.15788      0.34341
     -4.69613      0.49627      0.15660      0.33967
     -4.68613      0.78040      0.24353      0.53688
     -4.67613      0.89636      0.28167      0.61468
     -4.66613      0.87104      0.28279      0.58825
     -4.65613      0.85942      0.28758      0.57184
     -4.64613      1.10348      0.36367      0.73982
     -4.63613      1.25958      0.39756      0.86202
     -4.62613      0.88876      0.26642      0.62233
     -4.61613      0.43176      0.12719      0.30457
     -4.60613      0.47818      0.14969      0.32849
     -4.59613      0.68169      0.21563      0.46606
     -4.58613      0.58224      0.17809      0.40416
     -4.57613      0.40096      0.11690      0.28406
     -4.56613      0.31085      0.09372      0.21713
     -4.55613      0.46529      0.14817      0.31712
     -4.54613      0.76906      0.24587      0.52318
     -4.53613      1.11097      0.34437      0.76660
     -4.52613      1.18184      0.36003      0.82180
     -4.51613      0.86277      0.26949      0.59328
     -4.50613      0.40931      0.13175      0.27756
     -4.49613      0.17497      0.05512      0.11985
     -4.48613      0.39413      0.11988      0.27426
     -4.47613      0.74730      0.22934      0.51796
     -4.46613      0.57149      0.17761      0.39388
     -4.45613      0.27676      0.08876      0.18800
     -4.44613      0.48458      0.15853      0.32605
     -4.43613      0.88767      0.28348      0.60419
     -4.42613      1.21646      0.37482      0.84164
     -4.41613      1.32887      0.40933      0.91954
     -4.40613      0.99856      0.31473      0.68384
     -4.39613      0.59605      0.19003      0.40602
     -4.38613      0.29885      0.09411      0.20474
     -4.37613      0.40124      0.12173      0.27951
     -4.36613      0.64347      0.19366      0.44981
     -4.35613      0.61192      0.18583      0.42609
     -4.34613      0.65278      0.19884      0.45394
     -4.33613      0.87357      0.27783      0.59574
     -4.32613      1.82737      0.63579      1.19158
     -4.31613      3.86116      1.34633      2.51483
     -4.30613      5.42668      1.85356      3.57313
     -4.29613      5.66497      1.91025      3.75472
     -4.28613      5.68856      1.88012      3.80844
     -4.27613      6.47262      2.03848      4.43414
     -4.26613      7.61319      2.28232      5.33086
     -4.25613      8.19668      2.40019      5.79649
     -4.24613      7.70522      2.24920      5.45601
     -4.23613      6.70023      1.95710      4.74313
     -4.22613      6.38433      1.87183      4.51251
     -4.21613      6.29357      1.86525      4.42833
     -4.20613      6.27885      1.86915      4.40970
     -4.19613      7.50802      2.22530      5.28272
     -4.18613      8.63294      2.56822      6.06472
     -4.17613      7.75634      2.31115      5.44519
     -4.16613      6.42820      1.88864      4.53955
     -4.15613      6.01882      1.72345      4.29537
     -4.14613      6.15175      1.76547      4.38628
     -4.13613      5.85862      1.71123      4.14739
     -4.12613      5.13314      1.48059      3.65254
     -4.11613      4.65625      1.32433      3.33192
     -4.10613      4.06886      1.14498      2.92388
     -4.09613      3.58672      0.99142      2.59530
     -4.08613      3.60474      1.02182      2.58292
     -4.07613      4.04480      1.19664      2.84816
     -4.06613      4.29688      1.28093      3.01594
     -4.05613      3.74361      1.07393      2.66968
     -4.04613      3.05500      0.81252      2.24248
     -4.03613      2.89322      0.77906      2.11416
     -4.02613      2.71782      0.77233      1.94549
     -4.01613      2.45753      0.69806      1.75947
     -4.00613      2.68050      0.74885      1.93166
     -3.99613      2.45521      0.68262      1.77259
     -3.98613      1.55292      0.45295      1.09997
     -3.97613      1.11449      0.40000      0.71450
     -3.96613      1.24662      0.48902      0.75760
     -3.95613      1.58088      0.58719      0.99369
     -3.94613      1.92297      0.67839      1.24458
     -3.93613      1.95170      0.65300      1.29870
     -3.92613      1.62205      0.52633      1.09572
     -3.91613      1.13840      0.39319      0.74521
     -3.90613      0.93962      0.33039      0.60923
     -3.89613      1.11593      0.33814      0.77778
     -3.88613      1.28334      0.37519      0.90816
     -3.87613      1.41215      0.46887      0.94329
     -3.86613      1.32432      0.50446      0.81986
     -3.85613      0.92710      0.37725      0.54986
     -3.84613      0.90695      0.32124      0.58572
     -3.83613      1.47029      0.46742      1.00287
     -3.82613      1.73824      0.53532      1.20292
     -3.81613      1.52972      0.48830      1.04141
     -3.80613      1.16711      0.42715      0.73995
     -3.79613      0.73184      0.31101      0.42083
     -3.78613      0.59672      0.27426      0.32246
     -3.77613      0.97843      0.41620      0.56222
     -3.76613      1.56594      0.58872      0.97722
     -3.75613      1.59671      0.55056      1.04615
     -3.74613      1.30719      0.42197      0.88522
     -3.73613      1.28668      0.36823      0.91845
     -3.72613      1.04091      0.26788      0.77303
     -3.71613      0.86125      0.23815      0.62311
     -3.70613      1.42782      0.48074      0.94708
     -3.69613      2.06263      0.72654      1.33609
     -3.68613      1.47087      0.52424      0.94664
     -3.67613      0.69164      0.25718      0.43445
     -3.66613      0.95783      0.32690      0.63093
     -3.65613      2.04549      0.66584      1.37965
     -3.64613      2.94677      0.94211      2.00466
     -3.63613      3.28172      1.03822      2.24351
     -3.62613      3.53119      1.14942      2.38177
     -3.61613      3.48655      1.14129      2.34526
     -3.60613      2.99970      0.95204      2.04766
     -3.59613      3.12631      1.00032      2.12599
     -3.58613      4.29283      1.37976      2.91307
     -3.57613      4.69061      1.48387      3.20673
     -3.56613      3.81148      1.18728      2.62420
     -3.55613      3.24415      1.00059      2.24356
     -3.54613      3.64353      1.15040      2.49314
     -3.53613      3.96119      1.30427      2.65693
     -3.52613      3.88401      1.25520      2.62881
     -3.51613      4.49075      1.36858      3.12217
     -3.50613      5.10849      1.56412      3.54437
     -3.49613      5.27849      1.65902      3.61947
     -3.48613      5.67946      1.78122      3.89824
     -3.47613      6.07432      1.87381      4.20051
     -3.46613      6.92345      2.14942      4.77403
     -3.45613      7.31271      2.28461      5.02811
     -3.44613      5.90932      1.82582      4.08350
     -3.43613      4.87383      1.56489      3.30894
     -3.42613      4.70187      1.60340      3.09848
     -3.41613      4.43247      1.55077      2.88170
     -3.40613      4.58001      1.63106      2.94895
     -3.39613      5.10375      1.87874      3.22501
     -3.38613      5.12173      1.93829      3.18344
     -3.37613      4.89979      1.89976      3.00003
     -3.36613      4.21949      1.64879      2.57070
     -3.35613      3.66504      1.35846      2.30658
     -3.34613      3.89520      1.37407      2.52113
     -3.33613      4.16105      1.45345      2.70760
     -3.32613      3.51279      1.25028      2.26251
     -3.31613      2.64195      0.99398      1.64798
     -3.30613      2.46381      0.96515      1.49865
     -3.29613      2.54537      0.98768      1.55769
