Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -4.99000      2.78414      0.93664      1.84750
     -4.98000      1.93857      0.64615      1.29243
     -4.97000      1.82408      0.61021      1.21386
     -4.96000      1.87614      0.61814      1.25800
     -4.95000      1.62285      0.52513      1.09772
     -4.94000      1.22428      0.39289      0.83139
     -4.93000      1.01390      0.32017      0.69373
     -4.92000      1.12671      0.34659      0.78012
     -4.91000      1.32273      0.39429      0.92843
     -4.90000      1.52390      0.44946      1.07444
     -4.89000      1.67751      0.52054      1.15698
     -4.88000      2.03356      0.68060      1.35296
     -4.87000      2.57189      0.85953      1.71236
     -4.86000      2.61132      0.83456      1.77676
     -4.85000      2.29703      0.70095      1.59608
     -4.84000      2.23651      0.65166      1.58485
     -4.83000      2.54089      0.70991      1.83099
     -4.82000      2.44763      0.66464      1.78299
     -4.81000      1.48596      0.39689      1.08906
     -4.80000      0.81908      0.22139      0.59769
     -4.79000      1.26877      0.37703      0.89175
     -4.78000      2.32986      0.72834      1.60151
     -4.77000      2.26868      0.70783      1.56085
     -4.76000      1.24380      0.36609      0.87770
     -4.75000      0.81728      0.22122      0.59606
     -4.74000      0.98215      0.26590      0.71625
     -4.73000      1.15871      0.31928      0.83943
     -4.72000      1.26537      0.35547      0.90991
     -4.71000      1.34927      0.39278      0.95649
     -4.70000      1.47263      0.44979      1.02284
     -4.69000      1.85715      0.58458      1.27257
     -4.68000      2.16326      0.70439      1.45887
     -4.67000      1.94503      0.65181      1.29322
     -4.66000      1.27796      0.41546      0.86250
     -4.65000      0.85133      0.25144      0.59989
     -4.64000      0.76856      0.21621      0.55235
     -4.63000      0.65529      0.18404      0.47125
     -4.62000      0.63500      0.18448      0.45052
     -4.61000      0.70790      0.20589      0.50201
     -4.60000      0.79549      0.23022      0.56527
     -4.59000      0.99698      0.29359      0.70339
     -4.58000      0.87288      0.26557      0.60731
     -4.57000      0.84759      0.27146      0.57613
     -4.56000      1.00387      0.32460      0.67928
     -4.55000      0.92104      0.29216      0.62887
     -4.54000      0.79533      0.24016      0.55518
     -4.53000      0.80705      0.23505      0.57200
     -4.52000      0.83507      0.24268      0.59239
     -4.51000      0.67176      0.19924      0.47252
     -4.50000      0.53654      0.16672      0.36982
     -4.49000      0.67141      0.20763      0.46378
     -4.48000      0.98500      0.30104      0.68397
     -4.47000      0.97064      0.30332      0.66733
     -4.46000      0.82762      0.26988      0.55774
     -4.45000      1.04554      0.34238      0.70316
     -4.44000      1.31950      0.42881      0.89069
     -4.43000      1.13137      0.36296      0.76841
     -4.42000      0.82042      0.25478      0.56563
     -4.41000      0.64392      0.19380      0.45012
     -4.40000      0.36533      0.10694      0.25839
     -4.39000      0.29292      0.08353      0.20938
     -4.38000      0.47073      0.13899      0.33174
     -4.37000      0.63007      0.19427      0.43580
     -4.36000      0.69499      0.21413      0.48086
     -4.35000      0.82348      0.24312      0.58036
     -4.34000      0.90777      0.26842      0.63934
     -4.33000      0.72959      0.22894      0.50065
     -4.32000      0.56613      0.18945      0.37668
     -4.31000      0.63211      0.20642      0.42569
     -4.30000      0.70085      0.21662      0.48423
     -4.29000      0.49883      0.14884      0.34999
     -4.28000      0.44980      0.13765      0.31215
     -4.27000      0.67129      0.20798      0.46330
     -4.26000      0.69875      0.21193      0.48682
     -4.25000      0.80932      0.24108      0.56824
     -4.24000      0.84043      0.25444      0.58599
     -4.23000      0.49816      0.15594      0.34222
     -4.22000      0.40243      0.13186      0.27057
     -4.21000      0.65912      0.21302      0.44609
     -4.20000      0.94571      0.30336      0.64235
     -4.19000      1.12570      0.36605      0.75965
     -4.18000      0.85305      0.28015      0.57290
