Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.00108      4.37343      0.00000      0.00000
     -4.99108      4.49376      0.00000      0.00000
     -4.98108      4.54970      0.00000      0.00000
     -4.97108      3.78112      0.00000      0.00000
     -4.96108      2.97175      0.00000      0.00000
     -4.95108      2.59130      0.00000      0.00000
     -4.94108      2.42663      0.00000      0.00000
     -4.93108      2.29516      0.00000      0.00000
     -4.92108      2.42639      0.00000      0.00000
     -4.91108      2.67386      0.00000      0.00000
     -4.90108      3.33405      0.00000      0.00000
     -4.89108      4.65329      0.00000      0.00000
     -4.88108      5.27559      0.00000      0.00000
     -4.87108      4.82755      0.00000      0.00000
     -4.86108      4.63628      0.00000      0.00000
     -4.85108      4.86075      0.00000      0.00000
     -4.84108      4.98694      0.00000      0.00000
     -4.83108      4.42415      0.00000      0.00000
     -4.82108      2.74360      0.00000      0.00000
     -4.81108      1.97880      0.00000      0.00000
     -4.80108      3.18309      0.00000      0.00000
     -4.79108      4.40480      0.00000      0.00000
     -4.78108      3.81902      0.00000      0.00000
     -4.77108      2.60502      0.00000      0.00000
     -4.76108      2.02665      0.00000      0.00000
     -4.75108      1.77707      0.00000      0.00000
     -4.74108      2.04910      0.00000      0.00000
     -4.73108      2.76916      0.00000      0.00000
     -4.72108      3.07082      0.00000      0.00000
     -4.71108      2.95362      0.00000      0.00000
     -4.70108      3.37296      0.00000      0.00000
     -4.69108      4.11130      0.00000      0.00000
     -4.68108      3.88866      0.00000      0.00000
     -4.67108      2.74227      0.00000      0.00000
     -4.66108      1.73425      0.00000      0.00000
     -4.65108      1.32072      0.00000      0.00000
     -4.64108      1.28850      0.00000      0.00000
     -4.63108      1.37284      0.00000      0.00000
     -4.62108      1.47933      0.00000      0.00000
     -4.61108      1.70564      0.00000      0.00000
     -4.60108      1.88887      0.00000      0.00000
     -4.59108      1.75906      0.00000      0.00000
     -4.58108      1.75299      0.00000      0.00000
     -4.57108      1.92472      0.00000      0.00000
     -4.56108      1.81743      0.00000      0.00000
     -4.55108      1.63638      0.00000      0.00000
     -4.54108      1.64301      0.00000      0.00000
     -4.53108      1.59157      0.00000      0.00000
     -4.52108      1.31305      0.00000      0.00000
     -4.51108      1.14170      0.00000      0.00000
     -4.50108      1.48149      0.00000      0.00000
     -4.49108      1.89338      0.00000      0.00000
     -4.48108      1.86413      0.00000      0.00000
     -4.47108      1.79461      0.00000      0.00000
     -4.46108      2.17751      0.00000      0.00000
     -4.45108      2.45943      0.00000      0.00000
     -4.44108      2.17017      0.00000      0.00000
     -4.43108      1.64927      0.00000      0.00000
     -4.42108      1.17952      0.00000      0.00000
     -4.41108      0.77750      0.00000      0.00000
     -4.40108      0.71336      0.00000      0.00000
     -4.39108      0.98418      0.00000      0.00000
     -4.38108      1.22284      0.00000      0.00000
     -4.37108      1.44486      0.00000      0.00000
     -4.36108      1.71806      0.00000      0.00000
     -4.35108      1.71113      0.00000      0.00000
     -4.34108      1.36955      0.00000      0.00000
     -4.33108      1.17128      0.00000      0.00000
     -4.32108      1.28146      0.00000      0.00000
     -4.31108      1.29700      0.00000      0.00000
     -4.30108      1.07222      0.00000      0.00000
     -4.29108      1.03286      0.00000      0.00000
     -4.28108      1.25616      0.00000      0.00000
     -4.27108      1.51450      0.00000      0.00000
     -4.26108      1.65143      0.00000      0.00000
     -4.25108      1.42658      0.00000      0.00000
     -4.24108      1.02749      0.00000      0.00000
     -4.23108      0.97465      0.00000      0.00000
     -4.22108      1.43877      0.00000      0.00000
     -4.21108      1.94977      0.00000      0.00000
     -4.20108      1.92029      0.00000      0.00000
     -4.19108      1.46118      0.00000      0.00000
     -4.18108      1.02450      0.00000      0.00000
     -4.17108      1.02959      0.00000      0.00000
     -4.16108      1.43478      0.00000      0.00000
     -4.15108      2.00825      0.00000      0.00000
     -4.14108      3.30486      0.00000      0.00000
     -4.13108      5.07131      0.00000      0.00000
     -4.12108      6.00919      0.00000      0.00000
     -4.11108      5.93955      0.00000      0.00000
     -4.10108      5.92248      0.00000      0.00000
     -4.09108      6.34294      0.00000      0.00000
     -4.08108      6.52832      0.00000      0.00000
     -4.07108      6.38959      0.00000      0.00000
     -4.06108      6.85220      0.00000      0.00000
     -4.05108      8.14806      0.00000      0.00000
     -4.04108      8.39752      0.00000      0.00000
     -4.03108      7.17002      0.00000      0.00000
     -4.02108      6.44551      0.00000      0.00000
     -4.01108      7.00736      0.00000      0.00000
     -4.00108      8.66408      0.00000      0.00000
     -3.99108      9.59814      0.00000      0.00000
     -3.98108      9.32347      0.00000      0.00000
     -3.97108     10.14663      0.00000      0.00000
     -3.96108     12.72250      0.00000      0.00000
     -3.95108     14.70767      0.00000      0.00000
     -3.94108     14.25808      0.00000      0.00000
     -3.93108     12.64294      0.00000      0.00000
     -3.92108     11.96780      0.00000      0.00000
     -3.91108     12.41667      0.00000      0.00000
     -3.90108     12.77361      0.00000      0.00000
     -3.89108     13.28952      0.00000      0.00000
     -3.88108     13.43270      0.00000      0.00000
     -3.87108     12.92079      0.00000      0.00000
     -3.86108     11.76966      0.00000      0.00000
     -3.85108      9.72775      0.00000      0.00000
     -3.84108      8.03926      0.00000      0.00000
     -3.83108      7.37507      0.00000      0.00000
     -3.82108      7.41098      0.00000      0.00000
     -3.81108      7.87956      0.00000      0.00000
