Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -4.99000      2.72766      0.92911      1.79855
     -4.98000      1.98078      0.66285      1.31793
     -4.97000      1.64438      0.54924      1.09514
     -4.96000      1.41017      0.47052      0.93964
     -4.95000      1.41407      0.45697      0.95711
     -4.94000      1.42018      0.44601      0.97418
     -4.93000      1.39754      0.42851      0.96903
     -4.92000      1.52466      0.46152      1.06314
     -4.91000      1.50264      0.46979      1.03285
     -4.90000      1.70828      0.57000      1.13827
     -4.89000      2.04551      0.68878      1.35673
     -4.88000      2.16131      0.69528      1.46603
     -4.87000      2.04975      0.63192      1.41783
     -4.86000      1.71830      0.51579      1.20250
     -4.85000      1.69426      0.49003      1.20423
     -4.84000      1.96469      0.54978      1.41491
     -4.83000      2.32029      0.64899      1.67130
     -4.82000      2.47874      0.72598      1.75277
     -4.81000      2.33705      0.70622      1.63083
     -4.80000      1.92398      0.56393      1.36005
     -4.79000      1.29528      0.36031      0.93497
     -4.78000      0.98047      0.26269      0.71778
     -4.77000      1.07813      0.29224      0.78589
     -4.76000      1.54157      0.44138      1.10019
     -4.75000      2.21983      0.68491      1.53492
     -4.74000      2.61364      0.85250      1.76113
     -4.73000      2.11883      0.69223      1.42661
     -4.72000      1.18776      0.36318      0.82457
     -4.71000      0.83022      0.23296      0.59726
     -4.70000      0.87424      0.24440      0.62983
     -4.69000      0.91614      0.26037      0.65577
     -4.68000      1.06770      0.30771      0.75999
     -4.67000      1.19758      0.35373      0.84385
     -4.66000      1.16573      0.36015      0.80558
     -4.65000      1.20696      0.38058      0.82638
     -4.64000      1.16896      0.35749      0.81147
     -4.63000      0.96715      0.28366      0.68349
     -4.62000      0.77917      0.22818      0.55099
     -4.61000      0.80732      0.24033      0.56699
     -4.60000      0.89934      0.27091      0.62843
     -4.59000      0.86228      0.26688      0.59541
     -4.58000      1.03035      0.32296      0.70739
     -4.57000      1.32846      0.42217      0.90629
     -4.56000      1.35341      0.44279      0.91062
     -4.55000      1.02191      0.33670      0.68521
     -4.54000      0.74708      0.23224      0.51484
     -4.53000      0.61594      0.18119      0.43475
     -4.52000      0.66568      0.19210      0.47358
     -4.51000      0.78436      0.22935      0.55501
     -4.50000      0.65901      0.19739      0.46162
     -4.49000      0.58427      0.17944      0.40482
     -4.48000      0.77254      0.23932      0.53322
     -4.47000      0.91670      0.28714      0.62956
     -4.46000      0.89395      0.28284      0.61111
     -4.45000      0.80141      0.24559      0.55582
     -4.44000      0.67347      0.20027      0.47320
     -4.43000      0.60848      0.18337      0.42511
     -4.42000      0.70961      0.21636      0.49325
     -4.41000      0.71009      0.21851      0.49158
     -4.40000      0.63417      0.19817      0.43600
     -4.39000      0.70138      0.22131      0.48007
     -4.38000      0.94052      0.29734      0.64317
     -4.37000      1.26027      0.40110      0.85917
     -4.36000      1.09494      0.35310      0.74183
     -4.35000      0.53473      0.17196      0.36277
     -4.34000      0.38975      0.11712      0.27263
     -4.33000      0.53715      0.16094      0.37621
     -4.32000      0.56523      0.17328      0.39195
     -4.31000      0.62996      0.19032      0.43963
     -4.30000      0.73531      0.21782      0.51749
     -4.29000      0.69036      0.20839      0.48197
     -4.28000      0.58929      0.18675      0.40253
     -4.27000      0.60846      0.19514      0.41332
     -4.26000      0.67728      0.21399      0.46329
     -4.25000      0.66726      0.20775      0.45951
     -4.24000      0.56253      0.17379      0.38874
     -4.23000      0.54650      0.16666      0.37984
     -4.22000      0.72301      0.21792      0.50509
     -4.21000      0.67682      0.20372      0.47310
     -4.20000      0.52514      0.16347      0.36167
     -4.19000      0.59233      0.18864      0.40369
     -4.18000      0.78114      0.24959      0.53156
     -4.17000      0.84966      0.27437      0.57530
     -4.16000      0.73209      0.24000      0.49209
     -4.15000      0.61070      0.19748      0.41322
     -4.14000      0.85512      0.27770      0.57742
     -4.13000      1.73258      0.58970      1.14287
     -4.12000      2.60691      0.91675      1.69016
     -4.11000      2.81767      1.00516      1.81250
     -4.10000      2.78715      0.99245      1.79470
     -4.09000      2.95366      1.03109      1.92257
     -4.08000      3.13690      1.07640      2.06051
     -4.07000      3.32564      1.13899      2.18665
