Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.00108      5.05830      0.00000      0.00000
     -4.99108      4.35442      0.00000      0.00000
     -4.98108      3.77937      0.00000      0.00000
     -4.97108      3.33434      0.00000      0.00000
     -4.96108      2.94737      0.00000      0.00000
     -4.95108      2.72323      0.00000      0.00000
     -4.94108      2.60899      0.00000      0.00000
     -4.93108      2.62075      0.00000      0.00000
     -4.92108      3.06590      0.00000      0.00000
     -4.91108      3.94269      0.00000      0.00000
     -4.90108      4.41003      0.00000      0.00000
     -4.89108      4.04147      0.00000      0.00000
     -4.88108      3.67254      0.00000      0.00000
     -4.87108      3.64659      0.00000      0.00000
     -4.86108      3.68780      0.00000      0.00000
     -4.85108      3.93353      0.00000      0.00000
     -4.84108      4.71095      0.00000      0.00000
     -4.83108      5.04540      0.00000      0.00000
     -4.82108      4.42017      0.00000      0.00000
     -4.81108      3.53225      0.00000      0.00000
     -4.80108      2.50886      0.00000      0.00000
     -4.79108      1.96632      0.00000      0.00000
     -4.78108      2.38687      0.00000      0.00000
     -4.77108      3.44692      0.00000      0.00000
     -4.76108      4.50975      0.00000      0.00000
     -4.75108      4.86507      0.00000      0.00000
     -4.74108      3.87126      0.00000      0.00000
     -4.73108      2.49067      0.00000      0.00000
     -4.72108      1.80540      0.00000      0.00000
     -4.71108      1.65554      0.00000      0.00000
     -4.70108      1.93574      0.00000      0.00000
     -4.69108      2.19634      0.00000      0.00000
     -4.68108      2.19483      0.00000      0.00000
     -4.67108      2.36128      0.00000      0.00000
     -4.66108      2.51825      0.00000      0.00000
     -4.65108      2.24026      0.00000      0.00000
     -4.64108      1.84729      0.00000      0.00000
     -4.63108      1.64354      0.00000      0.00000
     -4.62108      1.69153      0.00000      0.00000
     -4.61108      1.76625      0.00000      0.00000
     -4.60108      1.80229      0.00000      0.00000
     -4.59108      2.16501      0.00000      0.00000
     -4.58108      2.61002      0.00000      0.00000
     -4.57108      2.53115      0.00000      0.00000
     -4.56108      2.00106      0.00000      0.00000
     -4.55108      1.50794      0.00000      0.00000
     -4.54108      1.29380      0.00000      0.00000
     -4.53108      1.39562      0.00000      0.00000
     -4.52108      1.47889      0.00000      0.00000
     -4.51108      1.30083      0.00000      0.00000
     -4.50108      1.27751      0.00000      0.00000
     -4.49108      1.57084      0.00000      0.00000
     -4.48108      1.78297      0.00000      0.00000
     -4.47108      1.73608      0.00000      0.00000
     -4.46108      1.58425      0.00000      0.00000
     -4.45108      1.36168      0.00000      0.00000
     -4.44108      1.28444      0.00000      0.00000
     -4.43108      1.38212      0.00000      0.00000
     -4.42108      1.38198      0.00000      0.00000
     -4.41108      1.32500      0.00000      0.00000
     -4.40108      1.51400      0.00000      0.00000
     -4.39108      2.01527      0.00000      0.00000
     -4.38108      2.31840      0.00000      0.00000
     -4.37108      1.88659      0.00000      0.00000
     -4.36108      1.17893      0.00000      0.00000
     -4.35108      0.93658      0.00000      0.00000
     -4.34108      1.04700      0.00000      0.00000
     -4.33108      1.14573      0.00000      0.00000
     -4.32108      1.32033      0.00000      0.00000
     -4.31108      1.45332      0.00000      0.00000
     -4.30108      1.33141      0.00000      0.00000
     -4.29108      1.17754      0.00000      0.00000
     -4.28108      1.24194      0.00000      0.00000
     -4.27108      1.33791      0.00000      0.00000
     -4.26108      1.27880      0.00000      0.00000
