Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.28819      4.28269      1.49284      2.78985
     -5.27819      4.15188      1.45441      2.69747
     -5.26819      4.12786      1.45715      2.67071
     -5.25819      4.22335      1.49650      2.72685
     -5.24819      4.75761      1.66797      3.08964
     -5.23819      5.19213      1.81277      3.37936
     -5.22819      5.48115      1.91954      3.56161
     -5.21819      5.62220      1.97433      3.64786
     -5.20819      5.67879      2.00409      3.67470
     -5.19819      5.55899      1.95107      3.60792
     -5.18819      5.00961      1.73278      3.27683
     -5.17819      4.55670      1.54454      3.01216
     -5.16819      4.39713      1.47353      2.92360
     -5.15819      4.13327      1.38191      2.75137
     -5.14819      3.61457      1.17259      2.44198
     -5.13819      2.86989      0.86033      2.00956
     -5.12819      2.37177      0.65942      1.71235
     -5.11819      2.43961      0.68770      1.75191
     -5.10819      2.82757      0.85620      1.97138
     -5.09819      2.85338      0.91239      1.94099
     -5.08819      2.20858      0.69878      1.50979
     -5.07819      1.55484      0.45830      1.09654
     -5.06819      1.37735      0.39286      0.98449
     -5.05819      1.55792      0.45054      1.10739
     -5.04819      1.71013      0.50912      1.20101
     -5.03819      1.71133      0.52458      1.18675
     -5.02819      1.52259      0.46640      1.05619
     -5.01819      1.24782      0.37393      0.87389
     -5.00819      1.18264      0.35352      0.82911
     -4.99819      1.40666      0.42365      0.98301
     -4.98819      1.56622      0.48119      1.08503
     -4.97819      1.55511      0.49860      1.05651
     -4.96819      1.53277      0.49695      1.03582
     -4.95819      1.34510      0.41721      0.92788
     -4.94819      1.16752      0.34407      0.82346
     -4.93819      1.13809      0.33334      0.80475
     -4.92819      1.08916      0.32539      0.76377
     -4.91819      1.00299      0.30791      0.69508
     -4.90819      1.09902      0.34227      0.75675
     -4.89819      1.22058      0.37740      0.84317
     -4.88819      1.05378      0.32202      0.73177
     -4.87819      0.87229      0.26480      0.60749
     -4.86819      0.98450      0.29939      0.68511
     -4.85819      1.17724      0.35945      0.81779
     -4.84819      1.11771      0.34925      0.76846
     -4.83819      1.07809      0.35164      0.72644
     -4.82819      1.12130      0.36658      0.75472
     -4.81819      0.90369      0.28467      0.61902
     -4.80819      0.75081      0.22562      0.52519
     -4.79819      0.77871      0.23213      0.54658
     -4.78819      0.71288      0.21592      0.49696
     -4.77819      0.75318      0.23410      0.51909
     -4.76819      0.83387      0.26318      0.57069
     -4.75819      0.83639      0.26566      0.57072
     -4.74819      0.84102      0.25982      0.58120
     -4.73819      0.84496      0.25542      0.58953
     -4.72819      0.74121      0.22855      0.51266
     -4.71819      0.65625      0.20562      0.45063
     -4.70819      0.70326      0.22123      0.48203
     -4.69819      0.82840      0.26531      0.56309
     -4.68819      1.12750      0.36153      0.76596
     -4.67819      1.10619      0.35073      0.75546
     -4.66819      0.63941      0.19959      0.43982
     -4.65819      0.50578      0.15548      0.35029
     -4.64819      0.61042      0.18778      0.42264
     -4.63819      0.61721      0.19068      0.42653
     -4.62819      0.69089      0.21280      0.47809
     -4.61819      0.84965      0.26063      0.58902
     -4.60819      0.79983      0.24933      0.55050
     -4.59819      0.62565      0.19898      0.42667
     -4.58819      0.61900      0.19407      0.42493
     -4.57819      0.61288      0.19025      0.42263
     -4.56819      0.56402      0.17660      0.38742
     -4.55819      0.69150      0.21387      0.47763
     -4.54819      0.87358      0.26810      0.60548
     -4.53819      0.87365      0.27698      0.59668
     -4.52819      0.80436      0.26478      0.53958
     -4.51819      0.68387      0.22120      0.46267
     -4.50819      0.51499      0.15964      0.35534
