Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.36617      8.48185      0.00000      0.00000
     -5.35617      8.42860      0.00000      0.00000
     -5.34617      8.48302      0.00000      0.00000
     -5.33617      8.97211      0.00000      0.00000
     -5.32617      9.73795      0.00000      0.00000
     -5.31617     10.47479      0.00000      0.00000
     -5.30617     11.27456      0.00000      0.00000
     -5.29617     11.67018      0.00000      0.00000
     -5.28617     10.90518      0.00000      0.00000
     -5.27617      9.83929      0.00000      0.00000
     -5.26617      9.72185      0.00000      0.00000
     -5.25617      9.58929      0.00000      0.00000
     -5.24617      8.57845      0.00000      0.00000
     -5.23617      7.51743      0.00000      0.00000
     -5.22617      7.14596      0.00000      0.00000
     -5.21617      6.94403      0.00000      0.00000
     -5.20617      6.55365      0.00000      0.00000
     -5.19617      5.93585      0.00000      0.00000
     -5.18617      4.75467      0.00000      0.00000
     -5.17617      3.80365      0.00000      0.00000
     -5.16617      3.64301      0.00000      0.00000
     -5.15617      3.61150      0.00000      0.00000
     -5.14617      3.50141      0.00000      0.00000
     -5.13617      3.52674      0.00000      0.00000
     -5.12617      3.54914      0.00000      0.00000
     -5.11617      3.29071      0.00000      0.00000
     -5.10617      2.90476      0.00000      0.00000
     -5.09617      2.73970      0.00000      0.00000
     -5.08617      2.80848      0.00000      0.00000
     -5.07617      2.79834      0.00000      0.00000
     -5.06617      2.69748      0.00000      0.00000
     -5.05617      2.78190      0.00000      0.00000
     -5.04617      2.87078      0.00000      0.00000
     -5.03617      2.57564      0.00000      0.00000
     -5.02617      2.28189      0.00000      0.00000
     -5.01617      2.33091      0.00000      0.00000
     -5.00617      2.35959      0.00000      0.00000
     -4.99617      2.26749      0.00000      0.00000
     -4.98617      2.25064      0.00000      0.00000
     -4.97617      2.35408      0.00000      0.00000
     -4.96617      2.41671      0.00000      0.00000
     -4.95617      2.22104      0.00000      0.00000
     -4.94617      1.95483      0.00000      0.00000
     -4.93617      1.91324      0.00000      0.00000
     -4.92617      1.94020      0.00000      0.00000
     -4.91617      1.86023      0.00000      0.00000
     -4.90617      1.79156      0.00000      0.00000
     -4.89617      1.82173      0.00000      0.00000
     -4.88617      1.88863      0.00000      0.00000
     -4.87617      1.86700      0.00000      0.00000
     -4.86617      1.70750      0.00000      0.00000
     -4.85617      1.55536      0.00000      0.00000
     -4.84617      1.56408      0.00000      0.00000
     -4.83617      1.64636      0.00000      0.00000
     -4.82617      1.61515      0.00000      0.00000
     -4.81617      1.53900      0.00000      0.00000
     -4.80617      1.62664      0.00000      0.00000
     -4.79617      1.75437      0.00000      0.00000
     -4.78617      1.66963      0.00000      0.00000
     -4.77617      1.49353      0.00000      0.00000
     -4.76617      1.43971      0.00000      0.00000
     -4.75617      1.47303      0.00000      0.00000
     -4.74617      1.46167      0.00000      0.00000
     -4.73617      1.43396      0.00000      0.00000
     -4.72617      1.46298      0.00000      0.00000
     -4.71617      1.50903      0.00000      0.00000
     -4.70617      1.52508      0.00000      0.00000
     -4.69617      1.51904      0.00000      0.00000
     -4.68617      1.48549      0.00000      0.00000
     -4.67617      1.36217      0.00000      0.00000
     -4.66617      1.27159      0.00000      0.00000
     -4.65617      1.32697      0.00000      0.00000
     -4.64617      1.41062      0.00000      0.00000
