Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.28600      3.41536      1.21036      2.20500
     -5.27600      3.69980      1.29460      2.40520
     -5.26600      4.15503      1.45323      2.70179
     -5.25600      3.99316      1.41022      2.58294
     -5.24600      4.15424      1.47599      2.67825
     -5.23600      5.77254      2.03491      3.73763
     -5.22600      7.06247      2.47819      4.58427
     -5.21600      6.50271      2.29252      4.21019
     -5.20600      5.35996      1.89119      3.46877
     -5.19600      4.75454      1.64761      3.10694
     -5.18600      4.49791      1.53723      2.96067
     -5.17600      4.37742      1.48762      2.88980
     -5.16600      4.22098      1.42354      2.79745
     -5.15600      4.23756      1.41193      2.82564
     -5.14600      4.15899      1.34204      2.81696
     -5.13600      3.25066      0.97807      2.27259
     -5.12600      2.13264      0.59161      1.54104
     -5.11600      1.63123      0.43600      1.19523
     -5.10600      1.81244      0.49754      1.31490
     -5.09600      2.21841      0.63813      1.58028
     -5.08600      2.37204      0.72423      1.64782
     -5.07600      2.63889      0.85397      1.78492
     -5.06600      2.88339      0.95248      1.93091
     -5.05600      2.33390      0.74816      1.58575
     -5.04600      1.43011      0.42513      1.00497
     -5.03600      0.92739      0.26242      0.66497
     -5.02600      0.93980      0.26739      0.67240
     -5.01600      1.14670      0.32610      0.82059
     -5.00600      1.33591      0.38761      0.94830
     -4.99600      1.26539      0.37822      0.88717
     -4.98600      1.22841      0.37905      0.84936
     -4.97600      1.50236      0.47048      1.03188
     -4.96600      1.76695      0.54419      1.22276
     -4.95600      1.41967      0.42553      0.99414
     -4.94600      0.85748      0.25547      0.60202
     -4.93600      0.74965      0.22614      0.52351
     -4.92600      1.10786      0.33026      0.77760
     -4.91600      1.33582      0.40103      0.93479
     -4.90600      1.17463      0.35984      0.81480
     -4.89600      1.15589      0.35676      0.79912
     -4.88600      1.24485      0.39177      0.85308
     -4.87600      1.43015      0.46953      0.96063
     -4.86600      1.67765      0.55459      1.12306
     -4.85600      1.25154      0.40375      0.84779
     -4.84600      0.65200      0.19742      0.45458
     -4.83600      0.53345      0.15635      0.37710
