Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.28593      3.41832      1.21111      2.20721
     -5.27593      3.70474      1.29629      2.40846
     -5.26593      4.15616      1.45395      2.70220
     -5.25593      3.99120      1.40975      2.58146
     -5.24593      4.15832      1.47716      2.68115
     -5.23593      5.79257      2.04158      3.75099
     -5.22593      7.07172      2.48147      4.59025
     -5.21593      6.49391      2.28966      4.20425
     -5.20593      5.34838      1.88705      3.46133
     -5.19593      4.74033      1.64232      3.09801
     -5.18593      4.49228      1.53493      2.95734
     -5.17593      4.37668      1.48723      2.88945
     -5.16593      4.21722      1.42223      2.79499
     -5.15593      4.24116      1.41294      2.82823
     -5.14593      4.16737      1.34425      2.82312
     -5.13593      3.24482      0.97596      2.26886
     -5.12593      2.11962      0.58765      1.53197
     -5.11593      1.62910      0.43536      1.19375
     -5.10593      1.81683      0.49888      1.31795
     -5.09593      2.21980      0.63871      1.58109
     -5.08593      2.37242      0.72451      1.64791
     -5.07593      2.64344      0.85554      1.78789
     -5.06593      2.88476      0.95301      1.93175
     -5.05593      2.33105      0.74697      1.58408
     -5.04593      1.42387      0.42308      1.00080
     -5.03593      0.92409      0.26152      0.66258
     -5.02593      0.94186      0.26796      0.67390
     -5.01593      1.14774      0.32633      0.82141
     -5.00593      1.33437      0.38728      0.94709
     -4.99593      1.26251      0.37748      0.88503
     -4.98593      1.22992      0.37958      0.85035
     -4.97593      1.50944      0.47260      1.03684
     -4.96593      1.76775      0.54430      1.22345
     -4.95593      1.40990      0.42260      0.98731
     -4.94593      0.85175      0.25385      0.59791
     -4.93593      0.75322      0.22716      0.52606
     -4.92593      1.11487      0.33224      0.78263
     -4.91593      1.33519      0.40092      0.93427
     -4.90593      1.16964      0.35846      0.81119
     -4.89593      1.15553      0.35662      0.79891
     -4.88593      1.24625      0.39234      0.85390
     -4.87593      1.43505      0.47132      0.96373
     -4.86593      1.67850      0.55482      1.12368
     -4.85593      1.24331      0.40098      0.84234
     -4.84593      0.64664      0.19568      0.45096
     -4.83593      0.53429      0.15660      0.37769
     -4.82593      0.73866      0.22040      0.51826
     -4.81593      1.03914      0.30774      0.73139
     -4.80593      0.95914      0.28047      0.67867
     -4.79593      0.55627      0.16620      0.39007
     -4.78593      0.50255      0.16159      0.34095
     -4.77593      0.86047      0.27395      0.58652
     -4.76593      0.93682      0.29587      0.64095
     -4.75593      0.80378      0.26119      0.54260
     -4.74593      0.88009      0.28015      0.59994
     -4.73593      0.94844      0.28628      0.66216
     -4.72593      0.89275      0.25947      0.63329
     -4.71593      0.71701      0.21438      0.50263
     -4.70593      0.47238      0.14940      0.32298
     -4.69593      0.49029      0.15480      0.33549
     -4.68593      0.79115      0.24705      0.54410
     -4.67593      0.90511      0.28480      0.62031
     -4.66593      0.88767      0.28880      0.59887
     -4.65593      0.88640      0.29618      0.59022
     -4.64593      1.13549      0.37298      0.76251
     -4.63593      1.23867      0.38908      0.84959
     -4.62593      0.83188      0.24798      0.58390
     -4.61593      0.39366      0.11599      0.27767
     -4.60593      0.47165      0.14803      0.32362
     -4.59593      0.68248      0.21588      0.46660
     -4.58593      0.58101      0.17757      0.40344
     -4.57593      0.40581      0.11843      0.28739
     -4.56593      0.33056      0.10001      0.23055
     -4.55593      0.47972      0.15271      0.32701
     -4.54593      0.78211      0.24937      0.53274
     -4.53593      1.13634      0.35121      0.78513
     -4.52593      1.16539      0.35520      0.81019
     -4.51593      0.82150      0.25762      0.56389
     -4.50593      0.38955      0.12583      0.26371
     -4.49593      0.17542      0.05534      0.12008
     -4.48593      0.41298      0.12613      0.28685
     -4.47593      0.75949      0.23339      0.52610
     -4.46593      0.55410      0.17185      0.38225
     -4.45593      0.27074      0.08673      0.18401
     -4.44593      0.50461      0.16485      0.33976
     -4.43593      0.92259      0.29379      0.62880
     -4.42593      1.25942      0.38763      0.87179
     -4.41593      1.32886      0.40936      0.91950
     -4.40593      0.96899      0.30512      0.66386
     -4.39593      0.55367      0.17725      0.37642
     -4.38593      0.27053      0.08587      0.18467
     -4.37593      0.40007      0.12144      0.27863
     -4.36593      0.64684      0.19460      0.45225
     -4.35593      0.62772      0.19001      0.43771
     -4.34593      0.68524      0.20787      0.47737
     -4.33593      0.90405      0.28998      0.61407
     -4.32593      1.91596      0.66959      1.24637
     -4.31593      3.95920      1.37879      2.58041
     -4.30593      5.40308      1.84296      3.56012
     -4.29593      5.55109      1.87301      3.67808
     -4.28593      5.59881      1.85177      3.74704
     -4.27593      6.46137      2.03563      4.42574
     -4.26593      7.65728      2.29561      5.36167
     -4.25593      8.23480      2.40950      5.82530
     -4.24593      7.72110      2.25391      5.46719
     -4.23593      6.73542      1.96766      4.76777
     -4.22593      6.42371      1.88367      4.54004
     -4.21593      6.33305      1.87871      4.45434
     -4.20593      6.40991      1.90634      4.50357
     -4.19593      7.65460      2.26675      5.38785
     -4.18593      8.64941      2.57450      6.07490
     -4.17593      7.65462      2.27771      5.37691
     -4.16593      6.34531      1.85657      4.48874
     -4.15593      6.08825      1.74158      4.34667
     -4.14593      6.19837      1.78418      4.41419
     -4.13593      5.81507      1.69875      4.11632
     -4.12593      5.11083      1.46937      3.64146
     -4.11593      4.61998      1.31044      3.30953
     -4.10593      4.01403      1.12543      2.88860
     -4.09593      3.56800      0.98852      2.57948
     -4.08593      3.61040      1.02957      2.58084
     -4.07593      4.09458      1.21380      2.88078
     -4.06593      4.28679      1.27681      3.00997
     -4.05593      3.69245      1.05317      2.63928
     -4.04593      3.04329      0.80452      2.23877
     -4.03593      2.85595      0.77140      2.08455
     -4.02593      2.64978      0.75609      1.89369
     -4.01593      2.45650      0.69828      1.75822
     -4.00593      2.71654      0.76105      1.95548
     -3.99593      2.40618      0.67174      1.73444
     -3.98593      1.47705      0.43501      1.04204
     -3.97593      1.09356      0.39859      0.69498
     -3.96593      1.26038      0.49535      0.76502
     -3.95593      1.60459      0.59577      1.00882
     -3.94593      1.92534      0.67770      1.24764
     -3.93593      1.92948      0.64197      1.28751
     -3.92593      1.58808      0.51376      1.07432
     -3.91593      1.12659      0.38982      0.73677
     -3.90593      0.96628      0.33654      0.62974
     -3.89593      1.13819      0.34220      0.79600
     -3.88593      1.29146      0.38015      0.91131
     -3.87593      1.41666      0.47537      0.94129
     -3.86593      1.29427      0.49736      0.79691
     -3.85593      0.90244      0.36693      0.53551
     -3.84593      0.92630      0.32378      0.60252
     -3.83593      1.49217      0.47257      1.01960
     -3.82593      1.72910      0.53316      1.19594
     -3.81593      1.51951      0.48947      1.03004
     -3.80593      1.15375      0.42615      0.72759
     -3.79593      0.71349      0.30492      0.40856
     -3.78593      0.60617      0.27844      0.32773
     -3.77593      1.01543      0.42790      0.58752
     -3.76593      1.59454      0.59364      1.00090
     -3.75593      1.58505      0.54377      1.04127
     -3.74593      1.31782      0.42180      0.89602
     -3.73593      1.28951      0.36551      0.92400
     -3.72593      1.00894      0.25850      0.75044
     -3.71593      0.84037      0.23570      0.60467
     -3.70593      1.45722      0.49435      0.96287
     -3.69593      2.07978      0.73242      1.34736
     -3.68593      1.41752      0.50657      0.91096
     -3.67593      0.66027      0.24719      0.41308
     -3.66593      0.98173      0.33453      0.64720
     -3.65593      2.10007      0.68286      1.41721
     -3.64593      2.98082      0.95086      2.02995
     -3.63593      3.28720      1.04164      2.24556
     -3.62593      3.52256      1.14985      2.37272
     -3.61593      3.46010      1.13118      2.32892
     -3.60593      2.99813      0.94979      2.04834
     -3.59593      3.19334      1.02256      2.17078
     -3.58593      4.34189      1.39489      2.94700
     -3.57593      4.66382      1.47390      3.18992
     -3.56593      3.77146      1.17296      2.59849
     -3.55593      3.22449      0.99384      2.23065
     -3.54593      3.63808      1.15086      2.48722
     -3.53593      3.94970      1.30236      2.64734
     -3.52593      3.90458      1.25809      2.64649
     -3.51593      4.57093      1.39148      3.17945
     -3.50593      5.14631      1.57755      3.56876
     -3.49593      5.29351      1.66289      3.63062
     -3.48593      5.72264      1.79162      3.93102
     -3.47593      6.10317      1.87986      4.22332
     -3.46593      6.96319      2.16054      4.80264
     -3.45593      7.29625      2.27946      5.01679
     -3.44593      5.83300      1.80399      4.02901
     -3.43593      4.81127      1.54886      3.26241
     -3.42593      4.67524      1.59747      3.07777
     -3.41593      4.42850      1.55153      2.87697
     -3.40593      4.60010      1.63932      2.96077
     -3.39593      5.12941      1.88831      3.24110
