Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.36534      7.72649      0.00000      0.00000
     -5.35534      7.60836      0.00000      0.00000
     -5.34534      7.88004      0.00000      0.00000
     -5.33534      8.08088      0.00000      0.00000
     -5.32534      8.94514      0.00000      0.00000
     -5.31534     11.55086      0.00000      0.00000
     -5.30534     13.63129      0.00000      0.00000
     -5.29534     12.90903      0.00000      0.00000
     -5.28534     11.05016      0.00000      0.00000
     -5.27534      9.62826      0.00000      0.00000
     -5.26534      8.69509      0.00000      0.00000
     -5.25534      8.30932      0.00000      0.00000
     -5.24534      7.96255      0.00000      0.00000
     -5.23534      7.87548      0.00000      0.00000
     -5.22534      7.81304      0.00000      0.00000
     -5.21534      6.70405      0.00000      0.00000
     -5.20534      4.77614      0.00000      0.00000
     -5.19534      3.86903      0.00000      0.00000
     -5.18534      3.89790      0.00000      0.00000
     -5.17534      4.09261      0.00000      0.00000
     -5.16534      4.67400      0.00000      0.00000
     -5.15534      5.67256      0.00000      0.00000
     -5.14534      5.62039      0.00000      0.00000
     -5.13534      4.08613      0.00000      0.00000
     -5.12534      2.63828      0.00000      0.00000
     -5.11534      2.10509      0.00000      0.00000
     -5.10534      2.26341      0.00000      0.00000
     -5.09534      2.50266      0.00000      0.00000
     -5.08534      2.31330      0.00000      0.00000
     -5.07534      2.32073      0.00000      0.00000
     -5.06534      2.83585      0.00000      0.00000
     -5.05534      3.10783      0.00000      0.00000
     -5.04534      3.01332      0.00000      0.00000
     -5.03534      2.60748      0.00000      0.00000
     -5.02534      2.03779      0.00000      0.00000
     -5.01534      1.94666      0.00000      0.00000
     -5.00534      2.19325      0.00000      0.00000
     -4.99534      2.15947      0.00000      0.00000
     -4.98534      2.24116      0.00000      0.00000
     -4.97534      2.54755      0.00000      0.00000
     -4.96534      2.72925      0.00000      0.00000
     -4.95534      3.02851      0.00000      0.00000
     -4.94534      3.02242      0.00000      0.00000
     -4.93534      2.18187      0.00000      0.00000
     -4.92534      1.38036      0.00000      0.00000
     -4.91534      1.25337      0.00000      0.00000
     -4.90534      1.60850      0.00000      0.00000
     -4.89534      1.99619      0.00000      0.00000
     -4.88534      1.76111      0.00000      0.00000
     -4.87534      1.16890      0.00000      0.00000
     -4.86534      1.17575      0.00000      0.00000
     -4.85534      1.65851      0.00000      0.00000
     -4.84534      1.80581      0.00000      0.00000
     -4.83534      1.68380      0.00000      0.00000
     -4.82534      1.76046      0.00000      0.00000
     -4.81534      1.87692      0.00000      0.00000
     -4.80534      1.75582      0.00000      0.00000
     -4.79534      1.33336      0.00000      0.00000
     -4.78534      0.98941      0.00000      0.00000
     -4.77534      1.14162      0.00000      0.00000
     -4.76534      1.55910      0.00000      0.00000
     -4.75534      1.78445      0.00000      0.00000
     -4.74534      1.74896      0.00000      0.00000
     -4.73534      1.90586      0.00000      0.00000
     -4.72534      2.25568      0.00000      0.00000
     -4.71534      2.27436      0.00000      0.00000
     -4.70534      1.58388      0.00000      0.00000
     -4.69534      0.94535      0.00000      0.00000
     -4.68534      0.99965      0.00000      0.00000
     -4.67534      1.22040      0.00000      0.00000
     -4.66534      1.13706      0.00000      0.00000
     -4.65534      0.84497      0.00000      0.00000
     -4.64534      0.75510      0.00000      0.00000
     -4.63534      1.06937      0.00000      0.00000
     -4.62534      1.69076      0.00000      0.00000
     -4.61534      2.24415      0.00000      0.00000
     -4.60534      2.15257      0.00000      0.00000
     -4.59534      1.40569      0.00000      0.00000
     -4.58534      0.75192      0.00000      0.00000
     -4.57534      0.60486      0.00000      0.00000
     -4.56534      1.01186      0.00000      0.00000
     -4.55534      1.26285      0.00000      0.00000
     -4.54534      0.99145      0.00000      0.00000
     -4.53534      0.84559      0.00000      0.00000
     -4.52534      1.31621      0.00000      0.00000
     -4.51534      2.13088      0.00000      0.00000
     -4.50534      2.61364      0.00000      0.00000
     -4.49534      2.19505      0.00000      0.00000
     -4.48534      1.35647      0.00000      0.00000
     -4.47534      0.82585      0.00000      0.00000
     -4.46534      0.93907      0.00000      0.00000
     -4.45534      1.45137      0.00000      0.00000
