Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.42691      6.26630      2.18437      4.08193
     -5.41691      5.62336      1.89034      3.73302
     -5.40691      4.69855      1.51926      3.17929
     -5.39691      4.53363      1.44985      3.08378
     -5.38691      5.42632      1.75361      3.67271
     -5.37691      5.94695      1.95952      3.98742
     -5.36691      5.67086      1.90242      3.76844
     -5.35691      5.94361      2.02116      3.92245
     -5.34691      6.06112      2.07705      3.98407
     -5.33691      5.36814      1.83960      3.52854
     -5.32691      4.53151      1.54118      2.99033
     -5.31691      4.36004      1.48214      2.87790
     -5.30691      4.21857      1.44928      2.76929
     -5.29691      3.82299      1.30437      2.51862
     -5.28691      3.42808      1.15522      2.27287
     -5.27691      2.75087      0.91744      1.83342
     -5.26691      2.29688      0.76019      1.53668
     -5.25691      2.20703      0.72739      1.47964
     -5.24691      1.77239      0.55940      1.21299
     -5.23691      1.07154      0.31622      0.75532
     -5.22691      0.82961      0.24261      0.58701
     -5.21691      1.00333      0.29732      0.70602
     -5.20691      1.16545      0.33768      0.82778
     -5.19691      1.11252      0.32524      0.78728
     -5.18691      1.07126      0.32819      0.74307
     -5.17691      1.12438      0.35028      0.77410
     -5.16691      1.18554      0.37412      0.81142
     -5.15691      1.33704      0.42460      0.91244
     -5.14691      1.40724      0.43166      0.97558
     -5.13691      1.19601      0.35095      0.84505
     -5.12691      0.95708      0.28067      0.67641
     -5.11691      0.63947      0.19621      0.44326
     -5.10691      0.71685      0.22296      0.49389
     -5.09691      1.17873      0.35945      0.81928
     -5.08691      1.30180      0.40183      0.89997
     -5.07691      1.05204      0.33996      0.71208
     -5.06691      1.03813      0.34400      0.69412
     -5.05691      1.41774      0.46097      0.95677
     -5.04691      1.43349      0.45414      0.97935
     -5.03691      0.93536      0.28863      0.64673
     -5.02691      0.79920      0.24668      0.55252
     -5.01691      0.78688      0.24435      0.54253
     -5.00691      0.55124      0.16419      0.38706
     -4.99691      0.44235      0.12688      0.31547
     -4.98691      0.46331      0.14141      0.32190
     -4.97691      0.62950      0.20164      0.42786
     -4.96691      0.92207      0.28905      0.63302
     -4.95691      1.18409      0.35583      0.82826
     -4.94691      1.17105      0.35862      0.81243
     -4.93691      0.80219      0.26200      0.54019
     -4.92691      0.37304      0.12590      0.24714
     -4.91691      0.42158      0.13241      0.28917
     -4.90691      0.74905      0.22868      0.52036
     -4.89691      0.60423      0.18268      0.42154
     -4.88691      0.38454      0.12146      0.26308
     -4.87691      0.61793      0.20192      0.41600
     -4.86691      0.86527      0.27383      0.59144
     -4.85691      1.14679      0.34790      0.79888
     -4.84691      1.20722      0.36804      0.83918
     -4.83691      0.77409      0.24922      0.52488
     -4.82691      0.61750      0.21525      0.40224
     -4.81691      0.68217      0.23519      0.44698
     -4.80691      0.72813      0.23301      0.49511
     -4.79691      0.74632      0.22765      0.51867
     -4.78691      0.60479      0.18843      0.41636
     -4.77691      0.31903      0.10301      0.21602
     -4.76691      0.21077      0.06693      0.14384
     -4.75691      0.51569      0.15704      0.35866
     -4.74691      1.00141      0.29672      0.70468
     -4.73691      1.03357      0.30393      0.72964
     -4.72691      0.63950      0.19832      0.44119
     -4.71691      0.49748      0.16728      0.33020
     -4.70691      0.52869      0.17692      0.35177
     -4.69691      0.58533      0.19025      0.39508
     -4.68691      0.63646      0.19687      0.43959
