Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -5.54112      7.71274      0.00000      0.00000
     -5.53112      6.84183      0.00000      0.00000
     -5.52112      5.44891      0.00000      0.00000
     -5.51112      5.83220      0.00000      0.00000
     -5.50112      6.63500      0.00000      0.00000
     -5.49112      6.12225      0.00000      0.00000
     -5.48112      5.15894      0.00000      0.00000
     -5.47112      5.40443      0.00000      0.00000
     -5.46112      5.49995      0.00000      0.00000
     -5.45112      4.94983      0.00000      0.00000
     -5.44112      6.00337      0.00000      0.00000
     -5.43112      8.12314      0.00000      0.00000
     -5.42112      7.88692      0.00000      0.00000
     -5.41112      7.51400      0.00000      0.00000
     -5.40112      8.38301      0.00000      0.00000
     -5.39112      8.09433      0.00000      0.00000
     -5.38112      7.96989      0.00000      0.00000
     -5.37112      8.20793      0.00000      0.00000
     -5.36112      8.15941      0.00000      0.00000
     -5.35112      8.66771      0.00000      0.00000
     -5.34112      8.86687      0.00000      0.00000
     -5.33112      7.54471      0.00000      0.00000
     -5.32112      7.33323      0.00000      0.00000
     -5.31112      7.91036      0.00000      0.00000
     -5.30112      7.07550      0.00000      0.00000
     -5.29112      6.97404      0.00000      0.00000
     -5.28112      7.12255      0.00000      0.00000
     -5.27112      7.25669      0.00000      0.00000
     -5.26112      7.98386      0.00000      0.00000
     -5.25112      8.18244      0.00000      0.00000
     -5.24112      8.25097      0.00000      0.00000
     -5.23112      8.11109      0.00000      0.00000
     -5.22112      9.05760      0.00000      0.00000
     -5.21112     10.28267      0.00000      0.00000
     -5.20112      9.77679      0.00000      0.00000
     -5.19112      8.01608      0.00000      0.00000
     -5.18112      5.81208      0.00000      0.00000
     -5.17112      4.47737      0.00000      0.00000
     -5.16112      3.88479      0.00000      0.00000
     -5.15112      3.76755      0.00000      0.00000
     -5.14112      4.52139      0.00000      0.00000
     -5.13112      4.88116      0.00000      0.00000
     -5.12112      5.24168      0.00000      0.00000
     -5.11112      6.07166      0.00000      0.00000
     -5.10112      5.40457      0.00000      0.00000
     -5.09112      3.39379      0.00000      0.00000
     -5.08112      1.66523      0.00000      0.00000
     -5.07112      0.77468      0.00000      0.00000
