Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.28773      2.21767      0.60172      1.61595
     -5.27773      2.04181      0.56984      1.47197
     -5.26773      1.86569      0.54567      1.32002
     -5.25773      2.09372      0.64262      1.45110
     -5.24773      2.60936      0.83366      1.77570
     -5.23773      2.83864      0.96194      1.87671
     -5.22773      2.36949      0.83663      1.53286
     -5.21773      1.40466      0.47587      0.92879
     -5.20773      0.87941      0.25866      0.62075
     -5.19773      0.72553      0.20071      0.52482
     -5.18773      0.71606      0.19355      0.52252
     -5.17773      0.93708      0.25173      0.68536
     -5.16773      0.97320      0.27210      0.70110
     -5.15773      1.17387      0.34088      0.83299
     -5.14773      1.17119      0.33451      0.83668
     -5.13773      0.64982      0.18167      0.46816
     -5.12773      0.40801      0.12293      0.28508
     -5.11773      0.86196      0.26981      0.59215
     -5.10773      1.11639      0.34303      0.77336
     -5.09773      0.94037      0.27879      0.66157
     -5.08773      1.51998      0.45399      1.06599
     -5.07773      2.17024      0.66660      1.50363
     -5.06773      1.54345      0.48676      1.05669
     -5.05773      0.62739      0.20345      0.42394
     -5.04773      0.54714      0.16883      0.37831
     -5.03773      0.79851      0.23693      0.56158
     -5.02773      0.60321      0.17612      0.42709
     -5.01773      0.47015      0.14492      0.32523
     -5.00773      0.76213      0.23886      0.52327
     -4.99773      0.95618      0.28729      0.66888
     -4.98773      1.01350      0.29561      0.71789
     -4.97773      1.19362      0.35621      0.83742
     -4.96773      0.97511      0.30196      0.67315
     -4.95773      0.58483      0.19406      0.39077
     -4.94773      0.63126      0.21933      0.41193
     -4.93773      0.76976      0.26116      0.50861
     -4.92773      1.25579      0.41313      0.84266
     -4.91773      1.55143      0.51369      1.03773
     -4.90773      1.14090      0.38045      0.76045
     -4.89773      0.77252      0.24915      0.52338
     -4.88773      0.44308      0.13845      0.30463
     -4.87773      0.28442      0.08404      0.20038
     -4.86773      0.57426      0.16356      0.41070
     -4.85773      0.85219      0.23921      0.61298
     -4.84773      0.74268      0.20513      0.53755
     -4.83773      0.34784      0.09538      0.25247
     -4.82773      0.13416      0.03933      0.09483
     -4.81773      0.43117      0.13602      0.29514
     -4.80773      1.02872      0.32688      0.70183
     -4.79773      0.96193      0.30558      0.65636
     -4.78773      0.49074      0.14902      0.34173
     -4.77773      0.31434      0.08812      0.22623
     -4.76773      0.18707      0.05337      0.13371
     -4.75773      0.32801      0.10691      0.22110
     -4.74773      0.91372      0.30416      0.60956
     -4.73773      1.06537      0.35537      0.71000
     -4.72773      0.69763      0.22216      0.47547
     -4.71773      0.86224      0.25053      0.61171
     -4.70773      1.05302      0.30132      0.75170
     -4.69773      0.80839      0.23937      0.56902
     -4.68773      0.66458      0.21060      0.45398
     -4.67773      0.41967      0.13597      0.28371
     -4.66773      0.11577      0.03757      0.07820
     -4.65773      0.05111      0.01563      0.03548
     -4.64773      0.30722      0.09346      0.21376
     -4.63773      0.90467      0.27931      0.62535
     -4.62773      1.01592      0.31852      0.69740
     -4.61773      0.44297      0.14120      0.30178
     -4.60773      0.16562      0.05573      0.10989
     -4.59773      0.39571      0.13681      0.25890
     -4.58773      0.71242      0.24307      0.46935
     -4.57773      0.99617      0.32958      0.66659
     -4.56773      1.48316      0.47879      1.00437
     -4.55773      1.67493      0.52029      1.15464
     -4.54773      1.15025      0.34336      0.80689
     -4.53773      0.37854      0.11062      0.26792
     -4.52773      0.05093      0.01475      0.03618
     -4.51773      0.00274      0.00079      0.00195
     -4.50773      0.00442      0.00134      0.00308
     -4.49773      0.06821      0.02069      0.04753
     -4.48773      0.43601      0.13332      0.30268
     -4.47773      1.32726      0.41590      0.91136
     -4.46773      2.39788      0.78473      1.61315
     -4.45773      3.02387      1.03863      1.98524
     -4.44773      3.35936      1.18697      2.17239
     -4.43773      3.71510      1.30955      2.40555
     -4.42773      3.56863      1.25130      2.31732
     -4.41773      3.15731      1.09635      2.06096
     -4.40773      3.56646      1.18755      2.37890
     -4.39773      5.02478      1.61248      3.41230
     -4.38773      6.03854      1.90523      4.13331
     -4.37773      5.88961      1.82977      4.05984
     -4.36773      5.76563      1.73153      4.03410
     -4.35773      5.35966      1.54826      3.81140
     -4.34773      5.76434      1.65436      4.10997
     -4.33773      6.21401      1.80357      4.41043
     -4.32773      5.72304      1.67630      4.04674
     -4.31773      6.15761      1.82315      4.33447
     -4.30773      6.39121      1.87159      4.51962
     -4.29773      6.11241      1.74275      4.36966
     -4.28773      6.06878      1.74119      4.32759
     -4.27773      5.55784      1.63423      3.92361
     -4.26773      4.51735      1.32816      3.18920
     -4.25773      4.47931      1.28595      3.19336
     -4.24773      5.79693      1.66019      4.13675
     -4.23773      6.81412      1.96898      4.84515
     -4.22773      6.73001      1.92227      4.80774
     -4.21773      5.60592      1.60486      4.00106
     -4.20773      4.68179      1.39089      3.29090
     -4.19773      3.98242      1.17747      2.80496
     -4.18773      3.74678      1.06389      2.68289
     -4.17773      4.03739      1.13321      2.90418
     -4.16773      4.01298      1.11878      2.89420
     -4.15773      3.30123      0.90238      2.39885
     -4.14773      2.83904      0.81097      2.02807
     -4.13773      2.65265      0.82540      1.82724
     -4.12773      2.52606      0.75245      1.77361
     -4.11773      2.73918      0.72256      2.01662
     -4.10773      2.46527      0.63679      1.82847
     -4.09773      1.98107      0.54586      1.43521
     -4.08773      1.93746      0.52484      1.41262
     -4.07773      2.15697      0.58099      1.57599
     -4.06773      2.41153      0.72917      1.68236
     -4.05773      2.29479      0.77768      1.51711
     -4.04773      2.03150      0.72342      1.30809
     -4.03773      1.94669      0.67470      1.27198
     -4.02773      1.83227      0.64152      1.19074
     -4.01773      1.28475      0.46193      0.82282
     -4.00773      1.09199      0.37817      0.71382
     -3.99773      1.19808      0.40170      0.79638
     -3.98773      0.78747      0.24708      0.54039
     -3.97773      0.41455      0.11794      0.29661
     -3.96773      0.56675      0.19335      0.37340
     -3.95773      1.44544      0.50724      0.93821
     -3.94773      1.89293      0.64441      1.24851
     -3.93773      1.50839      0.50609      1.00230
     -3.92773      1.30111      0.43979      0.86133
     -3.91773      0.79569      0.26674      0.52896
     -3.90773      0.35059      0.11436      0.23623
     -3.89773      0.57100      0.19314      0.37786
     -3.88773      0.94916      0.35619      0.59297
     -3.87773      1.11730      0.43797      0.67933
     -3.86773      1.32505      0.46941      0.85564
     -3.85773      1.71386      0.59058      1.12327
     -3.84773      1.98669      0.73132      1.25537
     -3.83773      1.98521      0.72370      1.26151
     -3.82773      1.83887      0.61649      1.22238
     -3.81773      1.43280      0.49276      0.94003
     -3.80773      0.80821      0.28831      0.51990
     -3.79773      0.64708      0.17730      0.46978
     -3.78773      0.81471      0.20739      0.60732
     -3.77773      0.81874      0.23546      0.58327
     -3.76773      0.83665      0.26849      0.56816
     -3.75773      0.82032      0.29270      0.52761
     -3.74773      0.69098      0.27086      0.42012
     -3.73773      0.61721      0.26517      0.35204
     -3.72773      0.98761      0.39428      0.59333
     -3.71773      1.48521      0.48781      0.99739
     -3.70773      1.88114      0.56704      1.31409
     -3.69773      2.82931      0.89725      1.93206
     -3.68773      4.34760      1.45151      2.89609
     -3.67773      4.35962      1.48415      2.87546
     -3.66773      3.06665      0.98431      2.08235
     -3.65773      2.95345      0.85900      2.09445
     -3.64773      3.30215      0.96104      2.34111
     -3.63773      2.18989      0.64667      1.54322
     -3.62773      1.27352      0.38697      0.88656
     -3.61773      2.45969      0.77577      1.68392
     -3.60773      4.52269      1.42223      3.10047
     -3.59773      5.14405      1.59142      3.55262
     -3.58773      4.36916      1.36249      3.00667
     -3.57773      3.86678      1.24856      2.61823
     -3.56773      3.85523      1.27211      2.58312
     -3.55773      3.51531      1.15146      2.36385
     -3.54773      3.56566      1.19921      2.36645
     -3.53773      4.71697      1.62312      3.09385
     -3.52773      6.51937      2.08032      4.43905
     -3.51773      7.91084      2.38164      5.52920
     -3.50773      6.03437      1.85871      4.17566
     -3.49773      3.89931      1.29035      2.60896
     -3.48773      4.36336      1.47634      2.88702
     -3.47773      4.54460      1.52133      3.02326
     -3.46773      4.37480      1.44238      2.93242
     -3.45773      4.33890      1.42489      2.91401
     -3.44773      4.53547      1.44020      3.09526
     -3.43773      4.75870      1.49767      3.26103
     -3.42773      4.75278      1.55454      3.19824
     -3.41773      5.55181      1.91215      3.63966
     -3.40773      6.36508      2.31220      4.05288
     -3.39773      4.72395      1.78527      2.93868
     -3.38773      2.69556      1.00895      1.68661
     -3.37773      3.23845      1.14175      2.09670
     -3.36773      4.18217      1.48031      2.70185
     -3.35773      4.12915      1.47960      2.64955
     -3.34773      3.84994      1.46816      2.38178
     -3.33773      2.73770      1.14200      1.59570
     -3.32773      1.24169      0.53894      0.70275
     -3.31773      1.16370      0.46477      0.69893
     -3.30773      2.24079      0.87425      1.36654
     -3.29773      2.63631      1.06943      1.56688
     -3.28773      2.10186      0.90515      1.19670
     -3.27773      2.10836      0.89703      1.21134
     -3.26773      2.52997      1.08581      1.44417
