Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.00108      4.18789      0.00000      0.00000
     -4.99108      4.35734      0.00000      0.00000
     -4.98108      4.48159      0.00000      0.00000
     -4.97108      4.18357      0.00000      0.00000
     -4.96108      3.40904      0.00000      0.00000
     -4.95108      2.55999      0.00000      0.00000
     -4.94108      2.49373      0.00000      0.00000
     -4.93108      2.31740      0.00000      0.00000
     -4.92108      1.92980      0.00000      0.00000
     -4.91108      2.37135      0.00000      0.00000
     -4.90108      3.02530      0.00000      0.00000
     -4.89108      2.92124      0.00000      0.00000
     -4.88108      2.68338      0.00000      0.00000
     -4.87108      3.62617      0.00000      0.00000
     -4.86108      5.96879      0.00000      0.00000
     -4.85108      7.63043      0.00000      0.00000
     -4.84108      7.59458      0.00000      0.00000
     -4.83108      7.17465      0.00000      0.00000
     -4.82108      6.05094      0.00000      0.00000
     -4.81108      3.11006      0.00000      0.00000
     -4.80108      0.98006      0.00000      0.00000
     -4.79108      1.04148      0.00000      0.00000
     -4.78108      1.66576      0.00000      0.00000
     -4.77108      1.56287      0.00000      0.00000
     -4.76108      1.85187      0.00000      0.00000
     -4.75108      2.75017      0.00000      0.00000
     -4.74108      3.09652      0.00000      0.00000
     -4.73108      3.35511      0.00000      0.00000
     -4.72108      3.68399      0.00000      0.00000
     -4.71108      3.12646      0.00000      0.00000
     -4.70108      2.21847      0.00000      0.00000
     -4.69108      1.65326      0.00000      0.00000
     -4.68108      1.66698      0.00000      0.00000
     -4.67108      1.87931      0.00000      0.00000
     -4.66108      1.78179      0.00000      0.00000
     -4.65108      2.02618      0.00000      0.00000
     -4.64108      2.42487      0.00000      0.00000
     -4.63108      2.18711      0.00000      0.00000
     -4.62108      1.74129      0.00000      0.00000
     -4.61108      1.67660      0.00000      0.00000
     -4.60108      2.03428      0.00000      0.00000
     -4.59108      2.68850      0.00000      0.00000
     -4.58108      3.44272      0.00000      0.00000
     -4.57108      3.62500      0.00000      0.00000
     -4.56108      2.74346      0.00000      0.00000
     -4.55108      1.72667      0.00000      0.00000
     -4.54108      1.16670      0.00000      0.00000
     -4.53108      0.68788      0.00000      0.00000
     -4.52108      0.69618      0.00000      0.00000
     -4.51108      1.38478      0.00000      0.00000
     -4.50108      1.79605      0.00000      0.00000
     -4.49108      1.24154      0.00000      0.00000
     -4.48108      0.48012      0.00000      0.00000
     -4.47108      0.49961      0.00000      0.00000
     -4.46108      1.30313      0.00000      0.00000
     -4.45108      1.99994      0.00000      0.00000
     -4.44108      2.05484      0.00000      0.00000
     -4.43108      1.85176      0.00000      0.00000
     -4.42108      1.91945      0.00000      0.00000
     -4.41108      2.00258      0.00000      0.00000
     -4.40108      1.52616      0.00000      0.00000
     -4.39108      0.75577      0.00000      0.00000
     -4.38108      0.73240      0.00000      0.00000
     -4.37108      1.27451      0.00000      0.00000
     -4.36108      1.29186      0.00000      0.00000
     -4.35108      0.75746      0.00000      0.00000
     -4.34108      0.70695      0.00000      0.00000
     -4.33108      1.50973      0.00000      0.00000
     -4.32108      2.22257      0.00000      0.00000
     -4.31108      2.19023      0.00000      0.00000
     -4.30108      1.67177      0.00000      0.00000
     -4.29108      1.25086      0.00000      0.00000
     -4.28108      1.03059      0.00000      0.00000
     -4.27108      1.04388      0.00000      0.00000
     -4.26108      1.42018      0.00000      0.00000
     -4.25108      2.15381      0.00000      0.00000
     -4.24108      2.27395      0.00000      0.00000
     -4.23108      1.66077      0.00000      0.00000
     -4.22108      1.18762      0.00000      0.00000
     -4.21108      1.00188      0.00000      0.00000
     -4.20108      0.87293      0.00000      0.00000
     -4.19108      1.00526      0.00000      0.00000
     -4.18108      1.55810      0.00000      0.00000
     -4.17108      1.71507      0.00000      0.00000
