Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.36699      3.67892      0.00000      0.00000
     -5.35699      4.11354      0.00000      0.00000
     -5.34699      4.19464      0.00000      0.00000
     -5.33699      4.47794      0.00000      0.00000
     -5.32699      5.26315      0.00000      0.00000
     -5.31699      5.47056      0.00000      0.00000
     -5.30699      4.46014      0.00000      0.00000
     -5.29699      2.85069      0.00000      0.00000
     -5.28699      1.94450      0.00000      0.00000
     -5.27699      1.63400      0.00000      0.00000
     -5.26699      1.47173      0.00000      0.00000
     -5.25699      1.65772      0.00000      0.00000
     -5.24699      1.86638      0.00000      0.00000
     -5.23699      2.07859      0.00000      0.00000
     -5.22699      2.08596      0.00000      0.00000
     -5.21699      1.49075      0.00000      0.00000
     -5.20699      1.15795      0.00000      0.00000
     -5.19699      1.75927      0.00000      0.00000
     -5.18699      2.23269      0.00000      0.00000
     -5.17699      2.50579      0.00000      0.00000
     -5.16699      3.16412      0.00000      0.00000
     -5.15699      3.26323      0.00000      0.00000
     -5.14699      2.52420      0.00000      0.00000
     -5.13699      1.71451      0.00000      0.00000
     -5.12699      1.43817      0.00000      0.00000
     -5.11699      1.48953      0.00000      0.00000
     -5.10699      1.22031      0.00000      0.00000
     -5.09699      1.09190      0.00000      0.00000
     -5.08699      1.50430      0.00000      0.00000
     -5.07699      1.90822      0.00000      0.00000
     -5.06699      2.16467      0.00000      0.00000
     -5.05699      2.25903      0.00000      0.00000
     -5.04699      1.79329      0.00000      0.00000
     -5.03699      1.27520      0.00000      0.00000
     -5.02699      1.26720      0.00000      0.00000
     -5.01699      1.75206      0.00000      0.00000
     -5.00699      2.55756      0.00000      0.00000
     -4.99699      2.82440      0.00000      0.00000
     -4.98699      2.20852      0.00000      0.00000
     -4.97699      1.45004      0.00000      0.00000
     -4.96699      0.90594      0.00000      0.00000
     -4.95699      0.78832      0.00000      0.00000
     -4.94699      1.23041      0.00000      0.00000
     -4.93699      1.60923      0.00000      0.00000
     -4.92699      1.32630      0.00000      0.00000
     -4.91699      0.65951      0.00000      0.00000
     -4.90699      0.44084      0.00000      0.00000
     -4.89699      1.08270      0.00000      0.00000
     -4.88699      1.80449      0.00000      0.00000
     -4.87699      1.70651      0.00000      0.00000
     -4.86699      1.08693      0.00000      0.00000
     -4.85699      0.62643      0.00000      0.00000
     -4.84699      0.48247      0.00000      0.00000
     -4.83699      0.94113      0.00000      0.00000
     -4.82699      1.67512      0.00000      0.00000
     -4.81699      1.83899      0.00000      0.00000
     -4.80699      1.67803      0.00000      0.00000
     -4.79699      1.85936      0.00000      0.00000
     -4.78699      1.96414      0.00000      0.00000
     -4.77699      1.57765      0.00000      0.00000
     -4.76699      1.12895      0.00000      0.00000
     -4.75699      0.73149      0.00000      0.00000
     -4.74699      0.30986      0.00000      0.00000
     -4.73699      0.28284      0.00000      0.00000
     -4.72699      0.94638      0.00000      0.00000
     -4.71699      1.69604      0.00000      0.00000
     -4.70699      1.60268      0.00000      0.00000
     -4.69699      0.90805      0.00000      0.00000
     -4.68699      0.58271      0.00000      0.00000
     -4.67699      0.86880      0.00000      0.00000
     -4.66699      1.46643      0.00000      0.00000
     -4.65699      2.26291      0.00000      0.00000
     -4.64699      2.94101      0.00000      0.00000
     -4.63699      3.07600      0.00000      0.00000
     -4.62699      2.03075      0.00000      0.00000
     -4.61699      0.69465      0.00000      0.00000
     -4.60699      0.11399      0.00000      0.00000
     -4.59699      0.09540      0.00000      0.00000
     -4.58699      0.41362      0.00000      0.00000
     -4.57699      0.91850      0.00000      0.00000
     -4.56699      1.43001      0.00000      0.00000
     -4.55699      2.26267      0.00000      0.00000
     -4.54699      3.74610      0.00000      0.00000
     -4.53699      5.32098      0.00000      0.00000
     -4.52699      6.64451      0.00000      0.00000
     -4.51699      7.73263      0.00000      0.00000
     -4.50699      7.59641      0.00000      0.00000
     -4.49699      7.04464      0.00000      0.00000
     -4.48699      8.79214      0.00000      0.00000
     -4.47699     11.00047      0.00000      0.00000
     -4.46699     10.79695      0.00000      0.00000
     -4.45699      9.92669      0.00000      0.00000
     -4.44699     10.44204      0.00000      0.00000
     -4.43699     11.30956      0.00000      0.00000
     -4.42699     11.84305      0.00000      0.00000
     -4.41699     12.63353      0.00000      0.00000
     -4.40699     12.95656      0.00000      0.00000
     -4.39699     12.26454      0.00000      0.00000
     -4.38699     11.60588      0.00000      0.00000
     -4.37699     11.97018      0.00000      0.00000
     -4.36699     12.69648      0.00000      0.00000
     -4.35699     11.85858      0.00000      0.00000
     -4.34699      9.75061      0.00000      0.00000
     -4.33699      8.82458      0.00000      0.00000
     -4.32699     10.53096      0.00000      0.00000
     -4.31699     12.93853      0.00000      0.00000
     -4.30699     12.69507      0.00000      0.00000
     -4.29699     10.60659      0.00000      0.00000
     -4.28699      9.23073      0.00000      0.00000
     -4.27699      8.67337      0.00000      0.00000
     -4.26699      8.26388      0.00000      0.00000
     -4.25699      8.37264      0.00000      0.00000
     -4.24699      7.86231      0.00000      0.00000
     -4.23699      6.36834      0.00000      0.00000
     -4.22699      5.57775      0.00000      0.00000
     -4.21699      5.34507      0.00000      0.00000
     -4.20699      5.01504      0.00000      0.00000
     -4.19699      5.19751      0.00000      0.00000
     -4.18699      4.96497      0.00000      0.00000
     -4.17699      4.14255      0.00000      0.00000
