Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.36703      3.70961      0.00000      0.00000
     -5.35703      4.10375      0.00000      0.00000
     -5.34703      4.17185      0.00000      0.00000
     -5.33703      4.44861      0.00000      0.00000
     -5.32703      5.29729      0.00000      0.00000
     -5.31703      5.57790      0.00000      0.00000
     -5.30703      4.49801      0.00000      0.00000
     -5.29703      2.80015      0.00000      0.00000
     -5.28703      1.88461      0.00000      0.00000
     -5.27703      1.62297      0.00000      0.00000
     -5.26703      1.47429      0.00000      0.00000
     -5.25703      1.67075      0.00000      0.00000
     -5.24703      1.88580      0.00000      0.00000
     -5.23703      2.10570      0.00000      0.00000
     -5.22703      2.12859      0.00000      0.00000
     -5.21703      1.49030      0.00000      0.00000
     -5.20703      1.10862      0.00000      0.00000
     -5.19703      1.72004      0.00000      0.00000
     -5.18703      2.25066      0.00000      0.00000
     -5.17703      2.52821      0.00000      0.00000
     -5.16703      3.16175      0.00000      0.00000
     -5.15703      3.30123      0.00000      0.00000
     -5.14703      2.56612      0.00000      0.00000
     -5.13703      1.69562      0.00000      0.00000
     -5.12703      1.40509      0.00000      0.00000
     -5.11703      1.49221      0.00000      0.00000
     -5.10703      1.23785      0.00000      0.00000
     -5.09703      1.09438      0.00000      0.00000
     -5.08703      1.47397      0.00000      0.00000
     -5.07703      1.86294      0.00000      0.00000
     -5.06703      2.13962      0.00000      0.00000
     -5.05703      2.27920      0.00000      0.00000
     -5.04703      1.84765      0.00000      0.00000
     -5.03703      1.31887      0.00000      0.00000
     -5.02703      1.28564      0.00000      0.00000
     -5.01703      1.77078      0.00000      0.00000
     -5.00703      2.57520      0.00000      0.00000
     -4.99703      2.80305      0.00000      0.00000
     -4.98703      2.16127      0.00000      0.00000
     -4.97703      1.42500      0.00000      0.00000
     -4.96703      0.89873      0.00000      0.00000
     -4.95703      0.76570      0.00000      0.00000
     -4.94703      1.20016      0.00000      0.00000
     -4.93703      1.60507      0.00000      0.00000
     -4.92703      1.35610      0.00000      0.00000
     -4.91703      0.69431      0.00000      0.00000
     -4.90703      0.46469      0.00000      0.00000
     -4.89703      1.10055      0.00000      0.00000
     -4.88703      1.80775      0.00000      0.00000
     -4.87703      1.70037      0.00000      0.00000
     -4.86703      1.08518      0.00000      0.00000
     -4.85703      0.61891      0.00000      0.00000
     -4.84703      0.46488      0.00000      0.00000
     -4.83703      0.92330      0.00000      0.00000
     -4.82703      1.66779      0.00000      0.00000
     -4.81703      1.83876      0.00000      0.00000
     -4.80703      1.66360      0.00000      0.00000
     -4.79703      1.84161      0.00000      0.00000
     -4.78703      1.99115      0.00000      0.00000
     -4.77703      1.63066      0.00000      0.00000
     -4.76703      1.14829      0.00000      0.00000
     -4.75703      0.71559      0.00000      0.00000
     -4.74703      0.29360      0.00000      0.00000
     -4.73703      0.29012      0.00000      0.00000
     -4.72703      0.96830      0.00000      0.00000
     -4.71703      1.70045      0.00000      0.00000
     -4.70703      1.58211      0.00000      0.00000
     -4.69703      0.89939      0.00000      0.00000
     -4.68703      0.59949      0.00000      0.00000
     -4.67703      0.88197      0.00000      0.00000
     -4.66703      1.46598      0.00000      0.00000
     -4.65703      2.23487      0.00000      0.00000
     -4.64703      2.89697      0.00000      0.00000
     -4.63703      3.05940      0.00000      0.00000
     -4.62703      2.04833      0.00000      0.00000
     -4.61703      0.71649      0.00000      0.00000
     -4.60703      0.11938      0.00000      0.00000
     -4.59703      0.08705      0.00000      0.00000
     -4.58703      0.40145      0.00000      0.00000
     -4.57703      0.95265      0.00000      0.00000
     -4.56703      1.49132      0.00000      0.00000
     -4.55703      2.25799      0.00000      0.00000
     -4.54703      3.65819      0.00000      0.00000
     -4.53703      5.26419      0.00000      0.00000
     -4.52703      6.60483      0.00000      0.00000
     -4.51703      7.68442      0.00000      0.00000
     -4.50703      7.64933      0.00000      0.00000
     -4.49703      7.11242      0.00000      0.00000
     -4.48703      8.79702      0.00000      0.00000
     -4.47703     10.98371      0.00000      0.00000
     -4.46703     10.83920      0.00000      0.00000
     -4.45703     10.02747      0.00000      0.00000
     -4.44703     10.51098      0.00000      0.00000
     -4.43703     11.35734      0.00000      0.00000
     -4.42703     11.93991      0.00000      0.00000
     -4.41703     12.67993      0.00000      0.00000
     -4.40703     12.90476      0.00000      0.00000
     -4.39703     12.24098      0.00000      0.00000
     -4.38703     11.66262      0.00000      0.00000
     -4.37703     11.98889      0.00000      0.00000
     -4.36703     12.60303      0.00000      0.00000
     -4.35703     11.78313      0.00000      0.00000
     -4.34703      9.80215      0.00000      0.00000
     -4.33703      8.92722      0.00000      0.00000
     -4.32703     10.54333      0.00000      0.00000
     -4.31703     12.88554      0.00000      0.00000
     -4.30703     12.64870      0.00000      0.00000
     -4.29703     10.62897      0.00000      0.00000
     -4.28703      9.34495      0.00000      0.00000
     -4.27703      8.73693      0.00000      0.00000
     -4.26703      8.19390      0.00000      0.00000
     -4.25703      8.22776      0.00000      0.00000
     -4.24703      7.76719      0.00000      0.00000
     -4.23703      6.37938      0.00000      0.00000
     -4.22703      5.57421      0.00000      0.00000
     -4.21703      5.31947      0.00000      0.00000
     -4.20703      5.01172      0.00000      0.00000
     -4.19703      5.20149      0.00000      0.00000
     -4.18703      5.01340      0.00000      0.00000
     -4.17703      4.20429      0.00000      0.00000
     -4.16703      3.98821      0.00000      0.00000
     -4.15703      4.52718      0.00000      0.00000
     -4.14703      4.63825      0.00000      0.00000
     -4.13703      3.88880      0.00000      0.00000
     -4.12703      3.78999      0.00000      0.00000
     -4.11703      4.01297      0.00000      0.00000
     -4.10703      3.70868      0.00000      0.00000
     -4.09703      2.94951      0.00000      0.00000
     -4.08703      2.32585      0.00000      0.00000
     -4.07703      2.02848      0.00000      0.00000
     -4.06703      1.43066      0.00000      0.00000
     -4.05703      0.93930      0.00000      0.00000
     -4.04703      1.59563      0.00000      0.00000
     -4.03703      2.99937      0.00000      0.00000
     -4.02703      3.24002      0.00000      0.00000
     -4.01703      3.00776      0.00000      0.00000
     -4.00703      2.75248      0.00000      0.00000
     -3.99703      1.66987      0.00000      0.00000
     -3.98703      0.91845      0.00000      0.00000
     -3.97703      0.80982      0.00000      0.00000
     -3.96703      1.41669      0.00000      0.00000
     -3.95703      2.34451      0.00000      0.00000
     -3.94703      3.05353      0.00000      0.00000
     -3.93703      3.87697      0.00000      0.00000
     -3.92703      4.47476      0.00000      0.00000
     -3.91703      3.89560      0.00000      0.00000
     -3.90703      3.00734      0.00000      0.00000
     -3.89703      2.70332      0.00000      0.00000
     -3.88703      1.91835      0.00000      0.00000
     -3.87703      0.90954      0.00000      0.00000
     -3.86703      1.06768      0.00000      0.00000
     -3.85703      1.87127      0.00000      0.00000
     -3.84703      2.10771      0.00000      0.00000
     -3.83703      2.01763      0.00000      0.00000
     -3.82703      1.74660      0.00000      0.00000
     -3.81703      1.62951      0.00000      0.00000
     -3.80703      1.92820      0.00000      0.00000
     -3.79703      2.24351      0.00000      0.00000
     -3.78703      3.54684      0.00000      0.00000
     -3.77703      6.67529      0.00000      0.00000
     -3.76703      8.87074      0.00000      0.00000
     -3.75703      8.26562      0.00000      0.00000
     -3.74703      6.68291      0.00000      0.00000
     -3.73703      5.53050      0.00000      0.00000
     -3.72703      5.11244      0.00000      0.00000
     -3.71703      5.47139      0.00000      0.00000
     -3.70703      5.44923      0.00000      0.00000
     -3.69703      6.10904      0.00000      0.00000
     -3.68703      7.87541      0.00000      0.00000
     -3.67703      8.32815      0.00000      0.00000
     -3.66703      7.81630      0.00000      0.00000
     -3.65703      7.48389      0.00000      0.00000
     -3.64703      7.26695      0.00000      0.00000
     -3.63703      7.34329      0.00000      0.00000
     -3.62703      8.59076      0.00000      0.00000
     -3.61703     11.12873      0.00000      0.00000
     -3.60703     13.55419      0.00000      0.00000
     -3.59703     13.77521      0.00000      0.00000
     -3.58703     11.34941      0.00000      0.00000
     -3.57703      9.21641      0.00000      0.00000
     -3.56703      9.01738      0.00000      0.00000
     -3.55703      8.63399      0.00000      0.00000
     -3.54703      7.16060      0.00000      0.00000
     -3.53703      7.04692      0.00000      0.00000
     -3.52703      7.72538      0.00000      0.00000
     -3.51703      8.17620      0.00000      0.00000
     -3.50703      9.61128      0.00000      0.00000
     -3.49703     11.83626      0.00000      0.00000
     -3.48703     12.06223      0.00000      0.00000
     -3.47703      9.87516      0.00000      0.00000
     -3.46703      7.61935      0.00000      0.00000
     -3.45703      6.98800      0.00000      0.00000
     -3.44703      6.95869      0.00000      0.00000
     -3.43703      7.63905      0.00000      0.00000
     -3.42703      8.21873      0.00000      0.00000
     -3.41703      6.47897      0.00000      0.00000
     -3.40703      3.80785      0.00000      0.00000
