Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -4.99000      1.32698      0.43858      0.88840
     -4.98000      1.29856      0.41827      0.88029
     -4.97000      1.40684      0.44414      0.96269
     -4.96000      1.36864      0.41902      0.94962
     -4.95000      1.15989      0.34887      0.81102
     -4.94000      1.32680      0.42317      0.90363
     -4.93000      2.22233      0.75459      1.46775
     -4.92000      2.89444      0.98334      1.91110
     -4.91000      2.69252      0.87479      1.81773
     -4.90000      2.62528      0.79732      1.82796
     -4.89000      2.82004      0.80822      2.01182
     -4.88000      2.63280      0.71981      1.91299
     -4.87000      1.59159      0.42221      1.16938
     -4.86000      0.72943      0.18920      0.54023
     -4.85000      0.84667      0.23318      0.61349
     -4.84000      1.69876      0.51392      1.18484
     -4.83000      2.39491      0.76685      1.62806
     -4.82000      1.90867      0.61614      1.29253
     -4.81000      1.17634      0.35504      0.82129
     -4.80000      0.99270      0.28203      0.71066
     -4.79000      0.92948      0.25740      0.67208
     -4.78000      1.03927      0.28564      0.75363
     -4.77000      1.24015      0.35230      0.88785
     -4.76000      1.36659      0.41323      0.95336
     -4.75000      1.51195      0.47559      1.03636
     -4.74000      1.68473      0.54287      1.14186
     -4.73000      1.87660      0.63299      1.24361
     -4.72000      1.86059      0.64461      1.21598
     -4.71000      1.39014      0.46598      0.92416
     -4.70000      0.94459      0.28965      0.65494
     -4.69000      0.68082      0.19448      0.48634
     -4.68000      0.52631      0.15024      0.37608
     -4.67000      0.66257      0.19357      0.46900
     -4.66000      0.74176      0.21346      0.52830
     -4.65000      0.85490      0.24711      0.60779
     -4.64000      0.92249      0.27669      0.64580
     -4.63000      0.73272      0.23036      0.50237
     -4.62000      0.85316      0.27794      0.57522
     -4.61000      1.01153      0.33356      0.67797
     -4.60000      0.94907      0.30848      0.64060
     -4.59000      0.85837      0.26202      0.59635
     -4.58000      0.83701      0.24491      0.59210
     -4.57000      0.76881      0.22604      0.54276
     -4.56000      0.54909      0.16818      0.38091
     -4.55000      0.53166      0.16859      0.36307
     -4.54000      0.77381      0.23995      0.53385
     -4.53000      0.99292      0.30909      0.68383
     -4.52000      0.85627      0.27668      0.57959
     -4.51000      0.80946      0.27063      0.53882
     -4.50000      1.10374      0.36730      0.73644
     -4.49000      1.32130      0.44211      0.87919
     -4.48000      1.10634      0.37018      0.73616
     -4.47000      0.83248      0.26738      0.56510
     -4.46000      0.60562      0.18576      0.41986
     -4.45000      0.32416      0.09562      0.22854
     -4.44000      0.31502      0.09134      0.22368
     -4.43000      0.47981      0.14530      0.33452
     -4.42000      0.62010      0.19616      0.42394
     -4.41000      0.74031      0.23176      0.50854
     -4.40000      0.87313      0.26233      0.61080
     -4.39000      0.84587      0.25636      0.58951
     -4.38000      0.63015      0.20630      0.42385
     -4.37000      0.55006      0.19185      0.35821
     -4.36000      0.67970      0.22790      0.45181
     -4.35000      0.72117      0.22878      0.49239
     -4.34000      0.46522      0.14295      0.32227
