Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -4.99293      0.89946      0.00000      0.00000
     -4.98293      0.81256      0.00000      0.00000
     -4.97293      0.89931      0.00000      0.00000
     -4.96293      1.10425      0.00000      0.00000
     -4.95293      1.16266      0.00000      0.00000
     -4.94293      1.48954      0.00000      0.00000
     -4.93293      2.06003      0.00000      0.00000
     -4.92293      1.94359      0.00000      0.00000
     -4.91293      1.42055      0.00000      0.00000
     -4.90293      1.13480      0.00000      0.00000
     -4.89293      0.83761      0.00000      0.00000
     -4.88293      0.66645      0.00000      0.00000
     -4.87293      0.69535      0.00000      0.00000
     -4.86293      0.67300      0.00000      0.00000
     -4.85293      1.12140      0.00000      0.00000
     -4.84293      1.41458      0.00000      0.00000
     -4.83293      1.07609      0.00000      0.00000
     -4.82293      0.59305      0.00000      0.00000
     -4.81293      0.19193      0.00000      0.00000
     -4.80293      0.14524      0.00000      0.00000
     -4.79293      0.29549      0.00000      0.00000
     -4.78293      0.29590      0.00000      0.00000
     -4.77293      0.52308      0.00000      0.00000
     -4.76293      1.83361      0.00000      0.00000
     -4.75293      3.32039      0.00000      0.00000
     -4.74293      3.58092      0.00000      0.00000
     -4.73293      3.57795      0.00000      0.00000
     -4.72293      2.89469      0.00000      0.00000
     -4.71293      1.24892      0.00000      0.00000
     -4.70293      0.23489      0.00000      0.00000
     -4.69293      0.02344      0.00000      0.00000
     -4.68293      0.09455      0.00000      0.00000
     -4.67293      0.61988      0.00000      0.00000
     -4.66293      1.80044      0.00000      0.00000
     -4.65293      2.66804      0.00000      0.00000
     -4.64293      2.73207      0.00000      0.00000
     -4.63293      3.61271      0.00000      0.00000
     -4.62293      5.39084      0.00000      0.00000
     -4.61293      6.90857      0.00000      0.00000
     -4.60293      8.75700      0.00000      0.00000
     -4.59293      8.64909      0.00000      0.00000
     -4.58293      6.92846      0.00000      0.00000
     -4.57293      7.76756      0.00000      0.00000
     -4.56293      9.34403      0.00000      0.00000
     -4.55293      8.83933      0.00000      0.00000
     -4.54293      7.44625      0.00000      0.00000
     -4.53293      6.18349      0.00000      0.00000
     -4.52293      6.27876      0.00000      0.00000
     -4.51293      6.53483      0.00000      0.00000
     -4.50293      6.14906      0.00000      0.00000
     -4.49293      7.05442      0.00000      0.00000
     -4.48293      8.05598      0.00000      0.00000
     -4.47293      7.90371      0.00000      0.00000
     -4.46293      8.06142      0.00000      0.00000
     -4.45293      8.71930      0.00000      0.00000
     -4.44293      8.03422      0.00000      0.00000
     -4.43293      6.89771      0.00000      0.00000
     -4.42293      6.52232      0.00000      0.00000
     -4.41293      6.07043      0.00000      0.00000
     -4.40293      5.27700      0.00000      0.00000
     -4.39293      4.32336      0.00000      0.00000
     -4.38293      5.05790      0.00000      0.00000
     -4.37293      6.81632      0.00000      0.00000
     -4.36293      7.98684      0.00000      0.00000
     -4.35293      8.16401      0.00000      0.00000
     -4.34293      7.71286      0.00000      0.00000
     -4.33293      7.62509      0.00000      0.00000
     -4.32293      7.19988      0.00000      0.00000
     -4.31293      7.54251      0.00000      0.00000
     -4.30293      9.18280      0.00000      0.00000
     -4.29293      9.71967      0.00000      0.00000
     -4.28293      8.68544      0.00000      0.00000
     -4.27293      8.88191      0.00000      0.00000
     -4.26293      9.73205      0.00000      0.00000
     -4.25293      8.38604      0.00000      0.00000
     -4.24293      7.23164      0.00000      0.00000
     -4.23293      7.52408      0.00000      0.00000
     -4.22293      7.12706      0.00000      0.00000
     -4.21293      6.42904      0.00000      0.00000
     -4.20293      6.89180      0.00000      0.00000
     -4.19293      7.95060      0.00000      0.00000
     -4.18293      8.63077      0.00000      0.00000
     -4.17293      8.79118      0.00000      0.00000
     -4.16293      8.10567      0.00000      0.00000
     -4.15293      7.52936      0.00000      0.00000
     -4.14293      7.04082      0.00000      0.00000
     -4.13293      6.49455      0.00000      0.00000
     -4.12293      6.51634      0.00000      0.00000
     -4.11293      6.75452      0.00000      0.00000
     -4.10293      6.69609      0.00000      0.00000
     -4.09293      6.60464      0.00000      0.00000
     -4.08293      6.83486      0.00000      0.00000
     -4.07293      7.61288      0.00000      0.00000
     -4.06293      8.59956      0.00000      0.00000
     -4.05293      8.02975      0.00000      0.00000
     -4.04293      5.90570      0.00000      0.00000
