Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.04076     10.05212      0.00000      0.00000
     -5.03076      8.88044      0.00000      0.00000
     -5.02076      7.95852      0.00000      0.00000
     -5.01076      7.59056      0.00000      0.00000
     -5.00076      6.83231      0.00000      0.00000
     -4.99076      6.43885      0.00000      0.00000
     -4.98076      5.46766      0.00000      0.00000
     -4.97076      3.89500      0.00000      0.00000
     -4.96076      2.69069      0.00000      0.00000
     -4.95076      2.22459      0.00000      0.00000
     -4.94076      2.39108      0.00000      0.00000
     -4.93076      2.69009      0.00000      0.00000
     -4.92076      2.93069      0.00000      0.00000
     -4.91076      2.85393      0.00000      0.00000
     -4.90076      3.35582      0.00000      0.00000
     -4.89076      4.94537      0.00000      0.00000
     -4.88076      5.58927      0.00000      0.00000
     -4.87076      4.83915      0.00000      0.00000
     -4.86076      4.65435      0.00000      0.00000
     -4.85076      5.23597      0.00000      0.00000
     -4.84076      5.20016      0.00000      0.00000
     -4.83076      3.40392      0.00000      0.00000
     -4.82076      1.62914      0.00000      0.00000
     -4.81076      2.01145      0.00000      0.00000
     -4.80076      4.20533      0.00000      0.00000
     -4.79076      5.00428      0.00000      0.00000
     -4.78076      3.02547      0.00000      0.00000
     -4.77076      1.86200      0.00000      0.00000
     -4.76076      1.99546      0.00000      0.00000
     -4.75076      2.06814      0.00000      0.00000
     -4.74076      2.29672      0.00000      0.00000
     -4.73076      2.69553      0.00000      0.00000
     -4.72076      3.00729      0.00000      0.00000
     -4.71076      3.45565      0.00000      0.00000
     -4.70076      3.97716      0.00000      0.00000
     -4.69076      4.03538      0.00000      0.00000
     -4.68076      3.04630      0.00000      0.00000
     -4.67076      1.99899      0.00000      0.00000
     -4.66076      1.58432      0.00000      0.00000
     -4.65076      1.24599      0.00000      0.00000
     -4.64076      1.18842      0.00000      0.00000
     -4.63076      1.41587      0.00000      0.00000
     -4.62076      1.55379      0.00000      0.00000
     -4.61076      1.94854      0.00000      0.00000
     -4.60076      1.78646      0.00000      0.00000
     -4.59076      1.63611      0.00000      0.00000
     -4.58076      1.99820      0.00000      0.00000
     -4.57076      1.92385      0.00000      0.00000
     -4.56076      1.65524      0.00000      0.00000
     -4.55076      1.62659      0.00000      0.00000
     -4.54076      1.68490      0.00000      0.00000
     -4.53076      1.37297      0.00000      0.00000
     -4.52076      1.07400      0.00000      0.00000
     -4.51076      1.31164      0.00000      0.00000
     -4.50076      1.93460      0.00000      0.00000
     -4.49076      1.96053      0.00000      0.00000
     -4.48076      1.66103      0.00000      0.00000
     -4.47076      2.05546      0.00000      0.00000
     -4.46076      2.64435      0.00000      0.00000
     -4.45076      2.33505      0.00000      0.00000
     -4.44076      1.68693      0.00000      0.00000
     -4.43076      1.32242      0.00000      0.00000
     -4.42076      0.76213      0.00000      0.00000
     -4.41076      0.58947      0.00000      0.00000
     -4.40076      0.92648      0.00000      0.00000
     -4.39076      1.25176      0.00000      0.00000
     -4.38076      1.40847      0.00000      0.00000
     -4.37076      1.66748      0.00000      0.00000
     -4.36076      1.81317      0.00000      0.00000
     -4.35076      1.45017      0.00000      0.00000
     -4.34076      1.13829      0.00000      0.00000
     -4.33076      1.28274      0.00000      0.00000
     -4.32076      1.41100      0.00000      0.00000
     -4.31076      0.99315      0.00000      0.00000
     -4.30076      0.91502      0.00000      0.00000
     -4.29076      1.35768      0.00000      0.00000
     -4.28076      1.41216      0.00000      0.00000
     -4.27076      1.64792      0.00000      0.00000
     -4.26076      1.65857      0.00000      0.00000
     -4.25076      0.96683      0.00000      0.00000
     -4.24076      0.83685      0.00000      0.00000
     -4.23076      1.37175      0.00000      0.00000
     -4.22076      1.95158      0.00000      0.00000
     -4.21076      2.25788      0.00000      0.00000
     -4.20076      1.61333      0.00000      0.00000
     -4.19076      0.75973      0.00000      0.00000
     -4.18076      0.84254      0.00000      0.00000
     -4.17076      1.32667      0.00000      0.00000
     -4.16076      1.41694      0.00000      0.00000
     -4.15076      1.09854      0.00000      0.00000
     -4.14076      2.04639      0.00000      0.00000
     -4.13076      4.37043      0.00000      0.00000
     -4.12076      5.73155      0.00000      0.00000
     -4.11076      5.83340      0.00000      0.00000
     -4.10076      5.56712      0.00000      0.00000
     -4.09076      6.18983      0.00000      0.00000
     -4.08076      7.19180      0.00000      0.00000
     -4.07076      6.99243      0.00000      0.00000
     -4.06076      6.85222      0.00000      0.00000
     -4.05076      7.67922      0.00000      0.00000
     -4.04076      8.45337      0.00000      0.00000
     -4.03076      7.29196      0.00000      0.00000
     -4.02076      6.16817      0.00000      0.00000
     -4.01076      6.92153      0.00000      0.00000
     -4.00076      8.83028      0.00000      0.00000
     -3.99076      9.78971      0.00000      0.00000
     -3.98076      9.44669      0.00000      0.00000
     -3.97076     10.61745      0.00000      0.00000
     -3.96076     13.11021      0.00000      0.00000
     -3.95076     15.65189      0.00000      0.00000
     -3.94076     16.59645      0.00000      0.00000
     -3.93076     14.51923      0.00000      0.00000
     -3.92076     11.80600      0.00000      0.00000
     -3.91076     11.18995      0.00000      0.00000
     -3.90076     12.12209      0.00000      0.00000
     -3.89076     13.32250      0.00000      0.00000
     -3.88076     13.65112      0.00000      0.00000
     -3.87076     12.88636      0.00000      0.00000
     -3.86076     11.58528      0.00000      0.00000
     -3.85076      9.22176      0.00000      0.00000
     -3.84076      7.71385      0.00000      0.00000
     -3.83076      7.99955      0.00000      0.00000
     -3.82076      8.34326      0.00000      0.00000
     -3.81076      7.71455      0.00000      0.00000
     -3.80076      7.27972      0.00000      0.00000
     -3.79076      7.06086      0.00000      0.00000
     -3.78076      6.12453      0.00000      0.00000
     -3.77076      5.53832      0.00000      0.00000
     -3.76076      6.27899      0.00000      0.00000
     -3.75076      6.16412      0.00000      0.00000
     -3.74076      4.45977      0.00000      0.00000
     -3.73076      4.35334      0.00000      0.00000
     -3.72076      5.35218      0.00000      0.00000
     -3.71076      5.92351      0.00000      0.00000
     -3.70076      6.34710      0.00000      0.00000
     -3.69076      5.63116      0.00000      0.00000
     -3.68076      4.16519      0.00000      0.00000
     -3.67076      2.76660      0.00000      0.00000
     -3.66076      1.99266      0.00000      0.00000
     -3.65076      1.89740      0.00000      0.00000
     -3.64076      2.13048      0.00000      0.00000
     -3.63076      2.20101      0.00000      0.00000
     -3.62076      1.96235      0.00000      0.00000
     -3.61076      1.81297      0.00000      0.00000
     -3.60076      1.85091      0.00000      0.00000
     -3.59076      2.46496      0.00000      0.00000
     -3.58076      4.01912      0.00000      0.00000
     -3.57076      4.31026      0.00000      0.00000
     -3.56076      2.73869      0.00000      0.00000
     -3.55076      1.62074      0.00000      0.00000
     -3.54076      1.19772      0.00000      0.00000
     -3.53076      1.89496      0.00000      0.00000
     -3.52076      3.26277      0.00000      0.00000
     -3.51076      3.39194      0.00000      0.00000
     -3.50076      2.85758      0.00000      0.00000
     -3.49076      2.14601      0.00000      0.00000
     -3.48076      1.19818      0.00000      0.00000
     -3.47076      1.15900      0.00000      0.00000
     -3.46076      2.58895      0.00000      0.00000
     -3.45076      3.60322      0.00000      0.00000
     -3.44076      2.28326      0.00000      0.00000
     -3.43076      1.21774      0.00000      0.00000
     -3.42076      1.92908      0.00000      0.00000
     -3.41076      2.97895      0.00000      0.00000
     -3.40076      3.87973      0.00000      0.00000
     -3.39076      5.17275      0.00000      0.00000
     -3.38076      5.87790      0.00000      0.00000
     -3.37076      5.61454      0.00000      0.00000
     -3.36076      5.67100      0.00000      0.00000
     -3.35076      6.52588      0.00000      0.00000
     -3.34076      7.62144      0.00000      0.00000
     -3.33076      8.36129      0.00000      0.00000
     -3.32076      8.73463      0.00000      0.00000
     -3.31076      8.76185      0.00000      0.00000
     -3.30076      8.14292      0.00000      0.00000
     -3.29076      7.75824      0.00000      0.00000
     -3.28076      8.32180      0.00000      0.00000
     -3.27076     10.50531      0.00000      0.00000
     -3.26076     14.98227      0.00000      0.00000
     -3.25076     20.51649      0.00000      0.00000
     -3.24076     21.75010      0.00000      0.00000
     -3.23076     18.32646      0.00000      0.00000
     -3.22076     15.07147      0.00000      0.00000
     -3.21076     13.60292      0.00000      0.00000
     -3.20076     11.15097      0.00000      0.00000
     -3.19076      8.87130      0.00000      0.00000
     -3.18076      8.26638      0.00000      0.00000
     -3.17076      7.80255      0.00000      0.00000
     -3.16076      8.60918      0.00000      0.00000
     -3.15076     10.04970      0.00000      0.00000
     -3.14076      8.95244      0.00000      0.00000
     -3.13076      6.86555      0.00000      0.00000
     -3.12076      6.46645      0.00000      0.00000
     -3.11076      7.26230      0.00000      0.00000
     -3.10076      7.36622      0.00000      0.00000
     -3.09076      6.55601      0.00000      0.00000
     -3.08076      5.76791      0.00000      0.00000
     -3.07076      5.16427      0.00000      0.00000
     -3.06076      5.21184      0.00000      0.00000
     -3.05076      5.81236      0.00000      0.00000
     -3.04076      5.86369      0.00000      0.00000
     -3.03076      5.10691      0.00000      0.00000
     -3.02076      4.39428      0.00000      0.00000
     -3.01076      3.99118      0.00000      0.00000
     -3.00076      5.07480      0.00000      0.00000
     -2.99076      6.17657      0.00000      0.00000
     -2.98076      5.77730      0.00000      0.00000
     -2.97076      5.16866      0.00000      0.00000
     -2.96076      4.25301      0.00000      0.00000
     -2.95076      3.75071      0.00000      0.00000
     -2.94076      3.76607      0.00000      0.00000
     -2.93076      3.16722      0.00000      0.00000
     -2.92076      2.71792      0.00000      0.00000
     -2.91076      2.94472      0.00000      0.00000
     -2.90076      3.06155      0.00000      0.00000
     -2.89076      2.86937      0.00000      0.00000
     -2.88076      2.39970      0.00000      0.00000
     -2.87076      2.28154      0.00000      0.00000
     -2.86076      3.05179      0.00000      0.00000
     -2.85076      3.34824      0.00000      0.00000
     -2.84076      3.63326      0.00000      0.00000
     -2.83076      4.91728      0.00000      0.00000
     -2.82076      5.68624      0.00000      0.00000
     -2.81076      4.58490      0.00000      0.00000
     -2.80076      3.59430      0.00000      0.00000
     -2.79076      3.53563      0.00000      0.00000
     -2.78076      2.93619      0.00000      0.00000
     -2.77076      2.58305      0.00000      0.00000
     -2.76076      2.94990      0.00000      0.00000
     -2.75076      2.73542      0.00000      0.00000
     -2.74076      2.76641      0.00000      0.00000
     -2.73076      2.92208      0.00000      0.00000
     -2.72076      2.67432      0.00000      0.00000
     -2.71076      1.96869      0.00000      0.00000
     -2.70076      1.64239      0.00000      0.00000
     -2.69076      2.13601      0.00000      0.00000
     -2.68076      2.59501      0.00000      0.00000
     -2.67076      2.90513      0.00000      0.00000
     -2.66076      3.79456      0.00000      0.00000
     -2.65076      4.75944      0.00000      0.00000
     -2.64076      4.30875      0.00000      0.00000
     -2.63076      3.54718      0.00000      0.00000
     -2.62076      4.25374      0.00000      0.00000
     -2.61076      5.07135      0.00000      0.00000
     -2.60076      4.07935      0.00000      0.00000
     -2.59076      2.42770      0.00000      0.00000
     -2.58076      1.99430      0.00000      0.00000
     -2.57076      2.66518      0.00000      0.00000
     -2.56076      2.90416      0.00000      0.00000
     -2.55076      3.02953      0.00000      0.00000
     -2.54076      3.54264      0.00000      0.00000
     -2.53076      3.94900      0.00000      0.00000
     -2.52076      3.41646      0.00000      0.00000
     -2.51076      2.29199      0.00000      0.00000
     -2.50076      2.38118      0.00000      0.00000
     -2.49076      3.40433      0.00000      0.00000
     -2.48076      4.21120      0.00000      0.00000
     -2.47076      4.49837      0.00000      0.00000
     -2.46076      4.20808      0.00000      0.00000
     -2.45076      4.22991      0.00000      0.00000
     -2.44076      4.00655      0.00000      0.00000
     -2.43076      3.04688      0.00000      0.00000
     -2.42076      2.59885      0.00000      0.00000
     -2.41076      2.74158      0.00000      0.00000
     -2.40076      3.06298      0.00000      0.00000
     -2.39076      3.36079      0.00000      0.00000
     -2.38076      3.43772      0.00000      0.00000
     -2.37076      3.99636      0.00000      0.00000
     -2.36076      4.49402      0.00000      0.00000
     -2.35076      3.75444      0.00000      0.00000
     -2.34076      2.82023      0.00000      0.00000
     -2.33076      2.47382      0.00000      0.00000
     -2.32076      2.76952      0.00000      0.00000
     -2.31076      3.73305      0.00000      0.00000
     -2.30076      4.02912      0.00000      0.00000
     -2.29076      3.19958      0.00000      0.00000
     -2.28076      2.95736      0.00000      0.00000
     -2.27076      2.98875      0.00000      0.00000
     -2.26076      2.70110      0.00000      0.00000
     -2.25076      2.73474      0.00000      0.00000
     -2.24076      3.03945      0.00000      0.00000
     -2.23076      4.07993      0.00000      0.00000
     -2.22076      5.35094      0.00000      0.00000
     -2.21076      5.13566      0.00000      0.00000
     -2.20076      4.66049      0.00000      0.00000
     -2.19076      4.36119      0.00000      0.00000
     -2.18076      3.77858      0.00000      0.00000
     -2.17076      3.73183      0.00000      0.00000
     -2.16076      4.29195      0.00000      0.00000
     -2.15076      5.20727      0.00000      0.00000
     -2.14076      7.10866      0.00000      0.00000
     -2.13076      7.96061      0.00000      0.00000
     -2.12076      6.35182      0.00000      0.00000
     -2.11076      4.96095      0.00000      0.00000
     -2.10076      4.50675      0.00000      0.00000
     -2.09076      4.81805      0.00000      0.00000
     -2.08076      5.67829      0.00000      0.00000
     -2.07076      6.16691      0.00000      0.00000
     -2.06076      6.54394      0.00000      0.00000
     -2.05076      6.61664      0.00000      0.00000
     -2.04076      6.06105      0.00000      0.00000
     -2.03076      5.65545      0.00000      0.00000
     -2.02076      5.20651      0.00000      0.00000
     -2.01076      4.87262      0.00000      0.00000
     -2.00076      5.72589      0.00000      0.00000
     -1.99076      7.54973      0.00000      0.00000
     -1.98076      9.09269      0.00000      0.00000
     -1.97076      8.89544      0.00000      0.00000
     -1.96076      7.30455      0.00000      0.00000
     -1.95076      6.82956      0.00000      0.00000
     -1.94076      8.20036      0.00000      0.00000
     -1.93076     11.65011      0.00000      0.00000
     -1.92076     14.60749      0.00000      0.00000
     -1.91076     15.11308      0.00000      0.00000
     -1.90076     13.72470      0.00000      0.00000
     -1.89076     10.89122      0.00000      0.00000
     -1.88076      8.51721      0.00000      0.00000
     -1.87076      7.65984      0.00000      0.00000
     -1.86076      7.61223      0.00000      0.00000
     -1.85076      8.22861      0.00000      0.00000
     -1.84076      8.46493      0.00000      0.00000
     -1.83076      8.76393      0.00000      0.00000
     -1.82076      8.28643      0.00000      0.00000
     -1.81076      6.14491      0.00000      0.00000
