Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.05982      9.24675      0.00000      0.00000
     -5.04982     11.38215      0.00000      0.00000
     -5.03982     11.81903      0.00000      0.00000
     -5.02982     10.75238      0.00000      0.00000
     -5.01982      9.80058      0.00000      0.00000
     -5.00982      8.79498      0.00000      0.00000
     -4.99982      7.83553      0.00000      0.00000
     -4.98982      7.14891      0.00000      0.00000
     -4.97982      6.82755      0.00000      0.00000
     -4.96982      6.85592      0.00000      0.00000
     -4.95982      5.41260      0.00000      0.00000
     -4.94982      3.46752      0.00000      0.00000
     -4.93982      2.47349      0.00000      0.00000
     -4.92982      2.38554      0.00000      0.00000
     -4.91982      2.69828      0.00000      0.00000
     -4.90982      3.02769      0.00000      0.00000
     -4.89982      2.80949      0.00000      0.00000
     -4.88982      2.52593      0.00000      0.00000
     -4.87982      3.75228      0.00000      0.00000
     -4.86982      5.78742      0.00000      0.00000
     -4.85982      5.83519      0.00000      0.00000
     -4.84982      5.20228      0.00000      0.00000
     -4.83982      5.55018      0.00000      0.00000
     -4.82982      5.58724      0.00000      0.00000
     -4.81982      3.67475      0.00000      0.00000
     -4.80982      1.69015      0.00000      0.00000
     -4.79982      1.51375      0.00000      0.00000
     -4.78982      2.95885      0.00000      0.00000
     -4.77982      4.76860      0.00000      0.00000
     -4.76982      4.18599      0.00000      0.00000
     -4.75982      2.37232      0.00000      0.00000
     -4.74982      1.94313      0.00000      0.00000
     -4.73982      2.10856      0.00000      0.00000
     -4.72982      2.23563      0.00000      0.00000
     -4.71982      2.40310      0.00000      0.00000
     -4.70982      2.53571      0.00000      0.00000
     -4.69982      3.05738      0.00000      0.00000
     -4.68982      3.54611      0.00000      0.00000
     -4.67982      3.79053      0.00000      0.00000
     -4.66982      3.73383      0.00000      0.00000
     -4.65982      2.80500      0.00000      0.00000
     -4.64982      1.92397      0.00000      0.00000
     -4.63982      1.41224      0.00000      0.00000
     -4.62982      1.10120      0.00000      0.00000
     -4.61982      1.37267      0.00000      0.00000
     -4.60982      1.51257      0.00000      0.00000
     -4.59982      1.75208      0.00000      0.00000
     -4.58982      1.80069      0.00000      0.00000
     -4.57982      1.45178      0.00000      0.00000
     -4.56982      1.76267      0.00000      0.00000
     -4.55982      2.03648      0.00000      0.00000
     -4.54982      1.92827      0.00000      0.00000
     -4.53982      1.75614      0.00000      0.00000
     -4.52982      1.69455      0.00000      0.00000
     -4.51982      1.45659      0.00000      0.00000
     -4.50982      1.04150      0.00000      0.00000
     -4.49982      1.14882      0.00000      0.00000
     -4.48982      1.69840      0.00000      0.00000
     -4.47982      1.96503      0.00000      0.00000
     -4.46982      1.62645      0.00000      0.00000
     -4.45982      1.72600      0.00000      0.00000
     -4.44982      2.37167      0.00000      0.00000
     -4.43982      2.62087      0.00000      0.00000
     -4.42982      2.10910      0.00000      0.00000
     -4.41982      1.62158      0.00000      0.00000
     -4.40982      1.04902      0.00000      0.00000
     -4.39982      0.59621      0.00000      0.00000
     -4.38982      0.72832      0.00000      0.00000
     -4.37982      1.04767      0.00000      0.00000
     -4.36982      1.33381      0.00000      0.00000
     -4.35982      1.64657      0.00000      0.00000
     -4.34982      1.80536      0.00000      0.00000
     -4.33982      1.48096      0.00000      0.00000
     -4.32982      1.10646      0.00000      0.00000
     -4.31982      1.19845      0.00000      0.00000
     -4.30982      1.53913      0.00000      0.00000
     -4.29982      1.29810      0.00000      0.00000
     -4.28982      0.79866      0.00000      0.00000
     -4.27982      1.12847      0.00000      0.00000
     -4.26982      1.47894      0.00000      0.00000
     -4.25982      1.53297      0.00000      0.00000
     -4.24982      1.70014      0.00000      0.00000
     -4.23982      1.25321      0.00000      0.00000
     -4.22982      0.72486      0.00000      0.00000
     -4.21982      1.04880      0.00000      0.00000
     -4.20982      1.63979      0.00000      0.00000
     -4.19982      2.08055      0.00000      0.00000
     -4.18982      2.08616      0.00000      0.00000
     -4.17982      1.25417      0.00000      0.00000
     -4.16982      0.78802      0.00000      0.00000
     -4.15982      1.15821      0.00000      0.00000
     -4.14982      1.50115      0.00000      0.00000
     -4.13982      1.30125      0.00000      0.00000
     -4.12982      1.79898      0.00000      0.00000
     -4.11982      4.11910      0.00000      0.00000
     -4.10982      5.96174      0.00000      0.00000
     -4.09982      5.95080      0.00000      0.00000
     -4.08982      5.55149      0.00000      0.00000
     -4.07982      5.91537      0.00000      0.00000
     -4.06982      7.10383      0.00000      0.00000
     -4.05982      7.21099      0.00000      0.00000
     -4.04982      6.69030      0.00000      0.00000
     -4.03982      7.70693      0.00000      0.00000
     -4.02982      8.73928      0.00000      0.00000
     -4.01982      7.60451      0.00000      0.00000
     -4.00982      6.33173      0.00000      0.00000
     -3.99982      6.74791      0.00000      0.00000
     -3.98982      8.74433      0.00000      0.00000
     -3.97982     10.10708      0.00000      0.00000
     -3.96982      9.82203      0.00000      0.00000
     -3.95982     10.93272      0.00000      0.00000
     -3.94982     13.33590      0.00000      0.00000
     -3.93982     15.48886      0.00000      0.00000
     -3.92982     16.79703      0.00000      0.00000
     -3.91982     15.40068      0.00000      0.00000
     -3.90982     12.32035      0.00000      0.00000
     -3.89982     11.38239      0.00000      0.00000
     -3.88982     12.49044      0.00000      0.00000
     -3.87982     13.15836      0.00000      0.00000
     -3.86982     12.81677      0.00000      0.00000
     -3.85982     12.40720      0.00000      0.00000
     -3.84982     11.50984      0.00000      0.00000
     -3.83982      9.32972      0.00000      0.00000
     -3.82982      7.44867      0.00000      0.00000
     -3.81982      6.88047      0.00000      0.00000
     -3.80982      7.91626      0.00000      0.00000
     -3.79982      8.44457      0.00000      0.00000
     -3.78982      7.64644      0.00000      0.00000
     -3.77982      7.08085      0.00000      0.00000
